Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Region
EMP0040,49,Male,Marketing,Consulting,20,Hybrid,Asia
EMP0041,30,Non-binary,Data Scientist,IT,22,Remote,Europe
EMP0042,53,Male,Project Manager,IT,14,Onsite,North America
EMP0043,54,Prefer not to say,Project Manager,Finance,26,Remote,Europe
EMP0044,54,Female,Designer,Manufacturing,12,Remote,Europe
EMP0045,57,Prefer not to say,HR,Retail,13,Remote,South America
EMP0046,32,Male,Marketing,Retail,24,Remote,North America
EMP0047,33,Male,Data Scientist,Education,33,Remote,South America
EMP0048,30,Female,Sales,Consulting,4,Remote,Oceania
EMP0049,22,Female,HR,Healthcare,7,Onsite,Africa
EMP0050,35,Male,Project Manager,Retail,11,Onsite,Europe
EMP0051,26,Non-binary,HR,Manufacturing,34,Onsite,Europe
EMP0052,47,Male,Sales,Consulting,25,Remote,South America
EMP0053,42,Female,Software Engineer,Retail,3,Onsite,South America
EMP0054,60,Prefer not to say,Project Manager,Healthcare,34,Onsite,Asia
EMP0055,26,Female,Software Engineer,Education,5,Hybrid,Asia
EMP0056,30,Non-binary,Project Manager,Education,8,Hybrid,Africa
EMP0057,42,Male,Software Engineer,IT,14,Remote,Asia
EMP0058,53,Prefer not to say,HR,IT,7,Onsite,South America
EMP0059,26,Prefer not to say,Designer,Manufacturing,31,Remote,Oceania
EMP0060,26,Prefer not to say,Data Scientist,IT,17,Remote,Oceania
EMP0061,25,Non-binary,Sales,Consulting,4,Hybrid,Europe
EMP0062,33,Female,Sales,IT,14,Remote,North America
EMP0063,25,Non-binary,Project Manager,Finance,20,Hybrid,Asia
EMP0064,22,Female,Software Engineer,Healthcare,5,Onsite,South America
EMP0065,60,Prefer not to say,Data Scientist,Healthcare,18,Hybrid,Oceania
EMP0066,56,Male,HR,Finance,9,Remote,Europe
EMP0067,45,Non-binary,Software Engineer,IT,6,Hybrid,Oceania
EMP0068,60,Female,Marketing,Education,32,Remote,Oceania
EMP0069,32,Female,Designer,Manufacturing,23,Onsite,South America
EMP0070,25,Female,Marketing,Finance,6,Remote,North America
EMP0071,43,Prefer not to say,Marketing,Consulting,23,Onsite,North America
EMP0072,50,Prefer not to say,Designer,Consulting,25,Remote,Oceania
EMP0073,28,Prefer not to say,Designer,Retail,15,Onsite,Africa
EMP0074,23,Non-binary,Software Engineer,IT,29,Hybrid,Africa
EMP0075,38,Prefer not to say,Project Manager,Consulting,35,Onsite,Africa
EMP0076,42,Male,Marketing,Retail,27,Onsite,Asia
EMP0077,31,Non-binary,HR,Consulting,4,Onsite,Europe
EMP0078,28,Female,Marketing,Healthcare,25,Remote,South America
EMP0079,29,Male,Data Scientist,Manufacturing,15,Remote,South America
EMP0080,27,Male,Project Manager,Consulting,21,Hybrid,Asia
EMP0081,54,Female,Data Scientist,Education,5,Hybrid,Asia
EMP0082,42,Non-binary,Software Engineer,Finance,33,Onsite,South America
EMP0083,58,Prefer not to say,HR,Education,32,Hybrid,North America
EMP0084,26,Female,Project Manager,Healthcare,15,Hybrid,Europe
EMP0085,56,Male,Designer,Retail,9,Hybrid,Oceania
EMP0086,50,Male,Designer,Finance,20,Hybrid,Asia
EMP0087,55,Prefer not to say,Project Manager,Manufacturing,10,Onsite,North America
EMP0088,22,Prefer not to say,Data Scientist,Education,26,Hybrid,Africa
EMP0089,24,Female,Designer,Consulting,11,Remote,North America
EMP0090,53,Prefer not to say,Marketing,Healthcare,23,Hybrid,Oceania
EMP0091,57,Female,Data Scientist,Retail,2,Onsite,Africa
EMP0092,22,Female,Software Engineer,Manufacturing,9,Onsite,South America
EMP0093,41,Male,Data Scientist,IT,31,Onsite,Asia
EMP0094,46,Non-binary,Data Scientist,Education,34,Remote,Europe
EMP0095,60,Non-binary,Project Manager,Education,11,Onsite,Africa
EMP0096,44,Female,Project Manager,Manufacturing,2,Remote,Asia
EMP0097,35,Male,Data Scientist,Healthcare,31,Hybrid,Africa
EMP0098,48,Male,Designer,IT,32,Hybrid,South America
EMP0099,31,Prefer not to say,Data Scientist,Healthcare,19,Onsite,Asia
EMP0100,53,Male,Project Manager,IT,12,Hybrid,Africa
EMP0101,32,Prefer not to say,Designer,Manufacturing,32,Onsite,Asia
EMP0102,33,Prefer not to say,Sales,Consulting,9,Hybrid,Africa
EMP0103,45,Prefer not to say,Sales,IT,3,Hybrid,Africa
EMP0104,50,Male,Software Engineer,Finance,18,Hybrid,Africa
EMP0105,41,Female,Designer,Education,30,Hybrid,Africa
EMP0106,43,Non-binary,Data Scientist,Healthcare,18,Onsite,South America
EMP0107,29,Prefer not to say,HR,IT,25,Onsite,South America
EMP0108,44,Prefer not to say,Software Engineer,Healthcare,27,Hybrid,Europe
EMP0109,50,Prefer not to say,Software Engineer,Healthcare,2,Remote,Oceania
EMP0110,36,Male,Data Scientist,Finance,4,Remote,Asia
EMP0111,34,Female,Data Scientist,Education,29,Hybrid,Africa
EMP0112,49,Male,HR,Finance,30,Remote,Africa
EMP0113,45,Female,Marketing,Retail,10,Remote,Europe
EMP0114,45,Prefer not to say,Data Scientist,Retail,21,Onsite,Europe
EMP0115,53,Female,Designer,Healthcare,25,Remote,Oceania
EMP0116,29,Male,Marketing,Education,35,Onsite,South America
EMP0117,34,Prefer not to say,Project Manager,Finance,5,Onsite,North America
EMP0118,58,Female,Data Scientist,Education,25,Remote,Europe
EMP0119,38,Female,Data Scientist,Manufacturing,1,Hybrid,Europe
EMP0120,40,Prefer not to say,Project Manager,Consulting,27,Hybrid,Africa
EMP0121,45,Prefer not to say,Project Manager,Manufacturing,29,Onsite,South America
EMP0122,43,Non-binary,Marketing,Retail,18,Hybrid,Europe
EMP0123,50,Male,Software Engineer,Healthcare,35,Onsite,Africa
EMP0124,58,Prefer not to say,Sales,Consulting,14,Onsite,North America
EMP0125,42,Non-binary,HR,Manufacturing,27,Remote,South America
EMP0126,53,Prefer not to say,Data Scientist,Finance,27,Hybrid,South America
EMP0127,36,Female,Marketing,Retail,8,Onsite,North America
EMP0128,51,Female,Project Manager,Finance,21,Remote,Europe
EMP0129,27,Female,Designer,Consulting,15,Onsite,Europe
EMP0130,22,Female,Sales,Retail,21,Hybrid,Oceania
EMP0131,32,Female,Designer,Education,16,Remote,Africa
EMP0132,32,Female,Marketing,Manufacturing,26,Remote,Africa
EMP0133,53,Male,Marketing,Retail,4,Onsite,South America
EMP0134,26,Non-binary,Marketing,Manufacturing,29,Hybrid,Europe
EMP0135,60,Male,Marketing,Finance,2,Hybrid,Oceania
EMP0136,51,Non-binary,Marketing,IT,26,Remote,Oceania
EMP0137,44,Male,Data Scientist,Healthcare,14,Remote,South America
EMP0138,48,Non-binary,Sales,IT,10,Remote,Oceania
EMP0139,57,Non-binary,Data Scientist,Education,34,Remote,North America
EMP0140,49,Non-binary,Project Manager,Education,11,Hybrid,Asia
EMP0141,32,Non-binary,Project Manager,Education,12,Onsite,Africa
EMP0142,49,Female,Project Manager,Healthcare,29,Hybrid,Asia
EMP0143,23,Female,Designer,Manufacturing,11,Hybrid,Europe
EMP0144,55,Prefer not to say,Designer,Finance,3,Onsite,North America
EMP0145,47,Non-binary,HR,Education,18,Remote,Asia
EMP0146,48,Non-binary,Marketing,Consulting,5,Remote,Europe
EMP0147,36,Prefer not to say,Software Engineer,Healthcare,3,Hybrid,Africa
EMP0148,45,Male,Designer,Finance,14,Remote,North America
EMP0149,41,Female,Designer,IT,10,Onsite,Oceania
EMP0150,50,Male,Designer,Consulting,17,Onsite,Oceania
EMP0151,41,Female,Software Engineer,Consulting,34,Remote,Oceania
EMP0152,57,Female,Designer,Consulting,20,Remote,Oceania
EMP0153,30,Male,Software Engineer,Healthcare,29,Hybrid,Africa
EMP0154,23,Female,Data Scientist,Consulting,31,Remote,Asia
EMP0155,30,Male,Software Engineer,Consulting,17,Remote,North America
EMP0156,47,Female,Project Manager,Healthcare,31,Onsite,North America
EMP0157,33,Prefer not to say,Project Manager,Finance,23,Hybrid,South America
EMP0158,32,Male,Data Scientist,Finance,21,Hybrid,North America
EMP0159,43,Male,Designer,Manufacturing,6,Onsite,South America
EMP0160,43,Non-binary,Software Engineer,Healthcare,14,Onsite,Oceania
EMP0161,35,Female,Marketing,IT,34,Hybrid,Africa
EMP0162,40,Female,Data Scientist,Education,24,Hybrid,Africa
EMP0163,29,Prefer not to say,Designer,Consulting,3,Hybrid,South America
EMP0164,24,Non-binary,Data Scientist,Manufacturing,5,Hybrid,Africa
EMP0165,40,Male,Software Engineer,Healthcare,11,Onsite,Oceania
EMP0166,22,Female,Software Engineer,Manufacturing,10,Hybrid,Africa
EMP0167,48,Non-binary,Software Engineer,Education,35,Onsite,Africa
EMP0168,60,Non-binary,Software Engineer,Retail,27,Remote,Asia
EMP0169,34,Prefer not to say,HR,Healthcare,15,Remote,Europe
EMP0170,50,Prefer not to say,Project Manager,Manufacturing,10,Hybrid,Europe
EMP0171,38,Male,Designer,Retail,19,Remote,North America
EMP0172,36,Male,Data Scientist,Retail,33,Onsite,Europe
EMP0173,35,Non-binary,Software Engineer,Finance,11,Hybrid,South America
EMP0174,25,Prefer not to say,Designer,Manufacturing,35,Remote,North America
EMP0175,34,Non-binary,HR,Education,10,Onsite,Europe
EMP0176,32,Prefer not to say,Project Manager,Healthcare,12,Remote,Europe
EMP0177,58,Prefer not to say,Marketing,Manufacturing,14,Hybrid,North America
EMP0178,40,Female,Project Manager,Finance,31,Onsite,Europe
EMP0179,56,Female,HR,Healthcare,32,Hybrid,South America
EMP0180,44,Non-binary,HR,Education,17,Hybrid,South America
EMP0181,30,Non-binary,Data Scientist,IT,22,Remote,Europe
EMP0182,49,Non-binary,Marketing,Consulting,29,Remote,South America
EMP0183,26,Male,Designer,Healthcare,21,Onsite,Europe
EMP0184,52,Male,Data Scientist,IT,22,Onsite,Africa
EMP0185,24,Prefer not to say,HR,Manufacturing,13,Hybrid,Europe
EMP0186,40,Non-binary,Designer,Consulting,12,Remote,Asia
EMP0187,57,Non-binary,HR,Manufacturing,11,Hybrid,Oceania
EMP0188,23,Prefer not to say,Software Engineer,Consulting,17,Onsite,Oceania
EMP0189,40,Prefer not to say,Data Scientist,IT,35,Hybrid,Oceania
EMP0190,45,Male,Data Scientist,Education,15,Remote,North America
EMP0191,46,Female,Data Scientist,Finance,11,Hybrid,Europe
EMP0192,37,Female,Software Engineer,Retail,16,Hybrid,North America
EMP0193,51,Female,Software Engineer,Healthcare,4,Onsite,South America
EMP0194,52,Male,Sales,IT,29,Onsite,South America
EMP0195,53,Male,Data Scientist,Education,22,Onsite,Africa
EMP0196,39,Male,Sales,Education,7,Remote,North America
EMP0197,56,Female,Designer,Healthcare,28,Onsite,Oceania
EMP0198,59,Non-binary,Marketing,Manufacturing,13,Hybrid,South America
EMP0199,28,Male,Project Manager,Retail,7,Remote,Oceania
EMP0200,36,Female,Data Scientist,Finance,3,Remote,South America
EMP0201,45,Non-binary,Sales,Education,3,Hybrid,Oceania
EMP0202,52,Male,Sales,Retail,2,Remote,Asia
EMP0203,55,Female,Project Manager,IT,32,Hybrid,Asia
EMP0204,58,Male,Sales,Consulting,18,Hybrid,South America
EMP0205,51,Prefer not to say,Software Engineer,IT,14,Onsite,Asia
EMP0206,52,Male,Data Scientist,Finance,5,Onsite,Oceania
EMP0207,54,Non-binary,Project Manager,IT,12,Onsite,Africa
EMP0208,35,Male,Designer,Retail,2,Remote,Europe
EMP0209,39,Male,Marketing,Manufacturing,19,Remote,North America
EMP0210,47,Prefer not to say,Sales,Consulting,7,Hybrid,Africa
EMP0211,49,Male,Project Manager,Manufacturing,31,Onsite,Europe
EMP0212,60,Prefer not to say,Marketing,Manufacturing,33,Onsite,North America
EMP0213,47,Female,Software Engineer,Manufacturing,11,Onsite,Oceania
EMP0214,27,Prefer not to say,Project Manager,Healthcare,22,Hybrid,Europe
EMP0215,46,Prefer not to say,Marketing,Consulting,30,Remote,South America
EMP0216,25,Non-binary,Software Engineer,Manufacturing,22,Remote,Europe
EMP0217,30,Male,HR,Education,11,Onsite,Oceania
EMP0218,38,Prefer not to say,Data Scientist,Education,35,Onsite,Europe
EMP0219,56,Female,HR,Education,5,Remote,Asia
EMP0220,42,Male,Sales,Manufacturing,23,Hybrid,South America
EMP0221,42,Prefer not to say,Project Manager,Retail,18,Hybrid,Oceania
EMP0222,30,Female,HR,IT,20,Hybrid,Asia
EMP0223,33,Male,Software Engineer,Consulting,6,Onsite,Asia
EMP0224,28,Non-binary,Marketing,Retail,29,Hybrid,Africa
EMP0225,50,Non-binary,Designer,Manufacturing,1,Remote,North America
EMP0226,44,Male,Software Engineer,Retail,4,Onsite,Africa
EMP0227,40,Female,Data Scientist,Healthcare,6,Remote,South America
EMP0228,23,Male,Project Manager,IT,8,Onsite,Asia
EMP0229,30,Female,Marketing,Consulting,32,Onsite,Oceania
EMP0230,42,Female,HR,Manufacturing,10,Hybrid,Europe
EMP0231,52,Male,Marketing,Retail,7,Onsite,Africa
EMP0232,37,Male,Marketing,Healthcare,29,Onsite,Oceania
EMP0233,28,Prefer not to say,Marketing,Manufacturing,19,Hybrid,Africa
EMP0234,31,Prefer not to say,Software Engineer,Consulting,18,Remote,Asia
EMP0235,23,Prefer not to say,Marketing,Retail,9,Onsite,Africa
EMP0236,37,Male,Data Scientist,Finance,18,Remote,Oceania
EMP0237,25,Male,HR,Healthcare,33,Hybrid,Europe
EMP0238,55,Female,Software Engineer,Manufacturing,13,Remote,Europe
EMP0239,56,Non-binary,Marketing,IT,4,Remote,North America
EMP0240,51,Prefer not to say,Software Engineer,Manufacturing,24,Hybrid,South America
EMP0241,35,Male,HR,Education,6,Onsite,Oceania
EMP0242,22,Non-binary,Sales,Manufacturing,2,Onsite,North America
EMP0243,34,Non-binary,Project Manager,Education,10,Remote,Oceania
EMP0244,37,Prefer not to say,Sales,Retail,32,Remote,Europe
EMP0245,59,Prefer not to say,Software Engineer,Finance,17,Onsite,North America
EMP0246,53,Female,Project Manager,IT,25,Hybrid,South America
EMP0247,38,Male,Data Scientist,Healthcare,25,Remote,South America
EMP0248,32,Male,Project Manager,Manufacturing,17,Onsite,Oceania
EMP0249,36,Prefer not to say,HR,Manufacturing,17,Remote,Africa
EMP0250,29,Female,Project Manager,Manufacturing,18,Hybrid,Africa
EMP0251,38,Non-binary,Project Manager,Manufacturing,26,Hybrid,South America
EMP0252,32,Male,Project Manager,Education,21,Hybrid,Oceania
EMP0253,43,Prefer not to say,Sales,IT,21,Hybrid,Oceania
EMP0254,46,Prefer not to say,HR,IT,25,Remote,Africa
EMP0255,42,Prefer not to say,Data Scientist,Education,4,Hybrid,Africa
EMP0256,27,Male,Project Manager,Education,25,Hybrid,Oceania
EMP0257,54,Prefer not to say,Marketing,Retail,10,Onsite,Europe
EMP0258,43,Male,Designer,Healthcare,34,Hybrid,Oceania
EMP0259,31,Female,Data Scientist,Education,9,Remote,Oceania
EMP0260,53,Non-binary,Software Engineer,Education,11,Remote,Asia
EMP0261,57,Non-binary,Software Engineer,Manufacturing,3,Onsite,North America
EMP0262,50,Non-binary,Project Manager,Finance,20,Onsite,Asia
EMP0263,37,Male,Sales,Education,18,Onsite,Africa
EMP0264,58,Female,Project Manager,Retail,8,Hybrid,Asia
EMP0265,57,Non-binary,Sales,Manufacturing,32,Remote,Europe
EMP0266,50,Prefer not to say,Sales,Retail,21,Onsite,Europe
EMP0267,48,Male,Project Manager,Manufacturing,33,Hybrid,South America
EMP0268,43,Non-binary,HR,Consulting,15,Onsite,South America
EMP0269,58,Female,Marketing,Retail,12,Onsite,Europe
EMP0270,30,Male,Designer,Education,32,Hybrid,Africa
EMP0271,44,Non-binary,HR,Finance,3,Onsite,South America
EMP0272,41,Prefer not to say,HR,Finance,28,Hybrid,Oceania
EMP0273,60,Female,Marketing,Healthcare,17,Remote,Asia
EMP0274,58,Non-binary,Designer,Finance,35,Hybrid,Asia
EMP0275,60,Prefer not to say,Sales,Consulting,7,Onsite,Oceania
EMP0276,27,Non-binary,Designer,Finance,34,Onsite,Europe
EMP0277,38,Female,Sales,Manufacturing,18,Remote,Asia
EMP0278,56,Male,Marketing,Healthcare,8,Remote,Asia
EMP0279,31,Male,Designer,Finance,19,Onsite,Africa
EMP0280,37,Prefer not to say,Software Engineer,Healthcare,25,Hybrid,North America
EMP0281,41,Female,Software Engineer,Education,2,Hybrid,Asia
EMP0282,58,Male,Designer,Education,10,Remote,Europe
EMP0283,49,Male,Data Scientist,IT,35,Remote,Asia
EMP0284,23,Non-binary,Data Scientist,Healthcare,18,Remote,Asia
EMP0285,24,Non-binary,Project Manager,Manufacturing,12,Hybrid,Oceania
EMP0286,41,Prefer not to say,Project Manager,Finance,35,Onsite,Asia
EMP0287,32,Female,HR,Consulting,23,Remote,Africa
EMP0288,47,Prefer not to say,Sales,Healthcare,10,Hybrid,Africa
EMP0289,23,Non-binary,Designer,IT,22,Hybrid,Africa
EMP0290,34,Prefer not to say,Marketing,Retail,14,Remote,North America
EMP0291,42,Male,Sales,IT,32,Hybrid,Europe
EMP0292,42,Prefer not to say,HR,IT,10,Hybrid,Asia
EMP0293,33,Female,Sales,Education,22,Hybrid,Africa
EMP0294,40,Male,Designer,Healthcare,3,Onsite,Asia
EMP0295,27,Male,Marketing,Healthcare,33,Hybrid,Europe
EMP0296,39,Prefer not to say,Data Scientist,Consulting,33,Hybrid,North America
EMP0297,42,Female,Marketing,IT,11,Hybrid,Europe
EMP0298,22,Non-binary,Sales,Healthcare,7,Remote,Asia
EMP0299,45,Female,Marketing,Finance,9,Remote,North America
EMP0300,47,Female,Data Scientist,Finance,6,Hybrid,Oceania
EMP0301,24,Non-binary,Designer,Retail,16,Remote,Oceania
EMP0302,48,Non-binary,HR,IT,2,Remote,Europe
EMP0303,60,Non-binary,Software Engineer,Retail,13,Hybrid,Africa
EMP0304,41,Non-binary,Software Engineer,Education,20,Remote,South America
EMP0305,49,Prefer not to say,Project Manager,Retail,17,Remote,Africa
EMP0306,27,Prefer not to say,Data Scientist,Finance,16,Onsite,Europe
EMP0307,35,Prefer not to say,Marketing,Manufacturing,14,Hybrid,Asia
EMP0308,23,Male,Software Engineer,Consulting,3,Onsite,North America
EMP0309,24,Prefer not to say,Designer,Finance,27,Hybrid,Africa
EMP0310,41,Non-binary,Sales,Education,25,Remote,Africa
EMP0311,41,Prefer not to say,Designer,IT,32,Onsite,Asia
EMP0312,43,Female,Data Scientist,Finance,16,Onsite,Oceania
EMP0313,30,Non-binary,Sales,IT,15,Onsite,South America
EMP0314,44,Male,HR,Retail,26,Onsite,Africa
EMP0315,50,Male,Marketing,Education,22,Remote,North America
EMP0316,48,Non-binary,Designer,Manufacturing,16,Remote,Asia
EMP0317,45,Male,Marketing,IT,2,Onsite,Asia
EMP0318,60,Male,HR,Education,6,Remote,Europe
EMP0319,51,Prefer not to say,Project Manager,Education,6,Onsite,Africa
EMP0320,48,Prefer not to say,HR,Retail,4,Hybrid,Europe
EMP0321,43,Female,Marketing,Consulting,25,Hybrid,Africa
EMP0322,23,Prefer not to say,Marketing,Education,31,Onsite,South America
EMP0323,32,Male,Marketing,Education,1,Onsite,Asia
EMP0324,44,Non-binary,HR,Consulting,29,Hybrid,Asia
EMP0325,36,Female,Marketing,Finance,4,Hybrid,Oceania
EMP0326,50,Male,Designer,Manufacturing,2,Onsite,Oceania
EMP0327,54,Non-binary,Marketing,Consulting,19,Hybrid,North America
EMP0328,54,Male,Designer,Healthcare,13,Remote,Oceania
EMP0329,33,Prefer not to say,HR,Healthcare,2,Onsite,South America
EMP0330,47,Prefer not to say,Sales,Consulting,31,Onsite,North America
EMP0331,25,Prefer not to say,Software Engineer,Education,28,Remote,Africa
EMP0332,38,Male,Sales,Education,25,Remote,Europe
EMP0333,31,Female,Software Engineer,Manufacturing,21,Onsite,Asia
EMP0334,58,Male,Marketing,IT,11,Onsite,Oceania
EMP0335,28,Prefer not to say,Designer,Education,16,Hybrid,Africa
EMP0336,54,Prefer not to say,Sales,IT,32,Hybrid,Asia
EMP0337,60,Female,Software Engineer,IT,31,Onsite,South America
EMP0338,38,Non-binary,Designer,Consulting,4,Hybrid,North America
EMP0339,31,Female,Sales,Finance,32,Hybrid,Europe
EMP0340,42,Non-binary,Designer,IT,2,Onsite,South America
EMP0341,52,Female,Data Scientist,Manufacturing,18,Remote,North America
EMP0342,41,Female,HR,Finance,6,Hybrid,Asia
EMP0343,44,Male,Project Manager,Finance,20,Onsite,North America
EMP0344,42,Female,Data Scientist,Finance,15,Remote,South America
EMP0345,53,Male,Software Engineer,Healthcare,3,Hybrid,Africa
EMP0346,52,Female,Software Engineer,Education,29,Remote,North America
EMP0347,23,Non-binary,Marketing,Education,12,Remote,Africa
EMP0348,24,Female,Sales,Finance,23,Onsite,Africa
EMP0349,41,Prefer not to say,Project Manager,Consulting,34,Hybrid,Asia
EMP0350,60,Prefer not to say,HR,Manufacturing,16,Onsite,Africa
EMP0351,25,Prefer not to say,Designer,Manufacturing,6,Remote,South America
EMP0352,55,Prefer not to say,HR,Healthcare,18,Onsite,North America
EMP0353,33,Non-binary,Software Engineer,Retail,3,Onsite,South America
EMP0354,43,Prefer not to say,Data Scientist,Consulting,14,Hybrid,Africa
EMP0355,59,Male,Project Manager,Education,20,Remote,Africa
EMP0356,48,Male,Sales,Healthcare,2,Remote,South America
EMP0357,31,Non-binary,HR,Finance,9,Remote,Asia
EMP0358,28,Male,Designer,Manufacturing,23,Remote,Asia
EMP0359,49,Male,Sales,Manufacturing,6,Remote,South America
EMP0360,56,Prefer not to say,HR,Finance,13,Hybrid,Europe
EMP0361,56,Non-binary,Sales,Retail,30,Onsite,Asia
EMP0362,51,Female,Sales,Consulting,10,Hybrid,Europe
EMP0363,38,Non-binary,Designer,Manufacturing,11,Onsite,South America
EMP0364,40,Male,Project Manager,IT,9,Onsite,South America
EMP0365,56,Non-binary,Project Manager,Consulting,23,Hybrid,Africa
EMP0366,33,Non-binary,Sales,IT,12,Hybrid,South America
EMP0367,45,Male,Marketing,Manufacturing,28,Onsite,Europe
EMP0368,55,Non-binary,Sales,IT,32,Hybrid,Europe
EMP0369,39,Female,Data Scientist,Manufacturing,33,Remote,South America
EMP0370,58,Non-binary,Software Engineer,Education,2,Remote,Africa
EMP0371,41,Non-binary,Data Scientist,Healthcare,33,Onsite,Oceania
EMP0372,57,Prefer not to say,Marketing,Healthcare,16,Onsite,Europe
EMP0373,31,Female,Software Engineer,Education,12,Remote,Africa
EMP0374,34,Prefer not to say,Sales,Healthcare,25,Remote,Oceania
EMP0375,39,Prefer not to say,Software Engineer,Healthcare,8,Hybrid,Oceania
EMP0376,29,Non-binary,Designer,IT,26,Hybrid,Oceania
EMP0377,31,Prefer not to say,Designer,IT,7,Hybrid,South America
EMP0378,30,Female,Designer,Healthcare,2,Remote,Europe
EMP0379,53,Prefer not to say,Designer,Healthcare,35,Remote,Africa
EMP0380,27,Male,Marketing,Consulting,15,Remote,Oceania
EMP0381,39,Male,Designer,Education,28,Remote,Africa
EMP0382,59,Male,Project Manager,Education,18,Remote,South America
EMP0383,58,Non-binary,HR,Consulting,10,Hybrid,North America
EMP0384,28,Prefer not to say,Sales,Education,5,Remote,Europe
EMP0385,56,Male,Designer,IT,27,Remote,Asia
EMP0386,31,Non-binary,Project Manager,Healthcare,4,Remote,Oceania
EMP0387,28,Female,Sales,Consulting,32,Onsite,Africa
EMP0388,46,Female,Sales,Finance,20,Hybrid,Africa
EMP0389,32,Female,Sales,Consulting,18,Remote,South America
EMP0390,37,Male,Software Engineer,Retail,31,Onsite,Europe
EMP0391,50,Prefer not to say,Project Manager,Consulting,9,Hybrid,North America
EMP0392,55,Female,Marketing,Retail,29,Remote,South America
EMP0393,45,Female,HR,Retail,17,Onsite,Africa
EMP0394,50,Female,Sales,Healthcare,31,Onsite,North America
EMP0395,43,Prefer not to say,Project Manager,Finance,3,Hybrid,Oceania
EMP0396,39,Non-binary,Marketing,Healthcare,20,Hybrid,Africa
EMP0397,30,Female,Data Scientist,Consulting,9,Hybrid,Europe
EMP0398,36,Male,Project Manager,Retail,4,Hybrid,Europe
EMP0399,58,Prefer not to say,Designer,Manufacturing,17,Hybrid,Europe
EMP0400,53,Prefer not to say,Data Scientist,Healthcare,34,Remote,Africa
EMP0401,56,Non-binary,HR,IT,13,Remote,Asia
EMP0402,57,Male,Project Manager,Consulting,19,Remote,South America
EMP0403,58,Male,Data Scientist,Finance,8,Onsite,Africa
EMP0404,57,Female,Designer,Healthcare,22,Hybrid,Europe
EMP0405,46,Non-binary,Data Scientist,Consulting,14,Remote,Asia
EMP0406,42,Female,HR,Manufacturing,33,Hybrid,Europe
EMP0407,24,Prefer not to say,Project Manager,Healthcare,30,Onsite,South America
EMP0408,53,Female,HR,Retail,10,Remote,Oceania
EMP0409,24,Female,Data Scientist,Finance,35,Remote,North America
EMP0410,30,Non-binary,Project Manager,Consulting,20,Remote,South America
EMP0411,22,Prefer not to say,Software Engineer,Healthcare,6,Remote,Europe
EMP0412,28,Non-binary,Designer,Retail,22,Hybrid,South America
EMP0413,52,Non-binary,Sales,Education,25,Onsite,Europe
