Employee_ID,Age,Gender
EMP0396,39,Non-binary
EMP0397,30,Female
EMP0398,36,Male
EMP0399,58,Prefer not to say
EMP0400,53,Prefer not to say
EMP0401,56,Non-binary
EMP0402,57,Male
EMP0403,58,Male
EMP0404,57,Female
EMP0405,46,Non-binary
EMP0406,42,Female
EMP0407,24,Prefer not to say
EMP0408,53,Female
EMP0409,24,Female
EMP0410,30,Non-binary
EMP0411,22,Prefer not to say
EMP0412,28,Non-binary
EMP0413,52,Non-binary
EMP0414,47,Prefer not to say
EMP0415,30,Male
EMP0416,52,Female
EMP0417,25,Prefer not to say
EMP0418,50,Non-binary
EMP0419,60,Female
EMP0420,48,Female
EMP0421,28,Male
EMP0422,23,Prefer not to say
EMP0423,26,Male
EMP0424,27,Female
EMP0425,52,Non-binary
EMP0426,32,Prefer not to say
EMP0427,23,Prefer not to say
EMP0428,41,Prefer not to say
EMP0429,33,Female
EMP0430,37,Non-binary
EMP0431,33,Male
EMP0432,28,Non-binary
EMP0433,57,Non-binary
EMP0434,45,Female
EMP0435,50,Female
EMP0436,53,Non-binary
EMP0437,58,Prefer not to say
EMP0438,48,Prefer not to say
EMP0439,42,Prefer not to say
EMP0440,22,Non-binary
EMP0441,23,Female
EMP0442,59,Prefer not to say
EMP0443,50,Non-binary
EMP0444,27,Female
EMP0445,25,Prefer not to say
EMP0446,52,Male
EMP0447,37,Non-binary
EMP0448,22,Non-binary
EMP0449,51,Male
EMP0450,57,Male
EMP0451,58,Prefer not to say
EMP0452,32,Prefer not to say
EMP0453,41,Female
EMP0454,36,Female
EMP0455,51,Non-binary
EMP0456,60,Female
EMP0457,34,Female
EMP0458,33,Female
EMP0459,53,Prefer not to say
EMP0460,53,Female
EMP0461,40,Female
EMP0462,36,Non-binary
EMP0463,54,Prefer not to say
EMP0464,41,Prefer not to say
EMP0465,55,Female
EMP0466,34,Prefer not to say
EMP0467,43,Prefer not to say
EMP0468,37,Non-binary
EMP0469,37,Prefer not to say
EMP0470,57,Female
EMP0471,33,Female
EMP0472,51,Female
EMP0473,50,Male
EMP0474,35,Female
EMP0475,40,Non-binary
EMP0476,53,Non-binary
EMP0477,32,Male
EMP0478,56,Female
EMP0479,55,Female
EMP0480,49,Non-binary
EMP0481,23,Female
EMP0482,38,Male
EMP0483,23,Male
EMP0484,29,Female
EMP0485,24,Female
EMP0486,58,Male
EMP0487,42,Male
EMP0488,42,Male
EMP0489,39,Non-binary
EMP0490,45,Male
EMP0491,53,Non-binary
EMP0492,43,Prefer not to say
EMP0493,24,Prefer not to say
EMP0494,44,Male
EMP0495,39,Prefer not to say
EMP0496,40,Prefer not to say
EMP0497,41,Non-binary
EMP0498,23,Male
EMP0499,53,Female
EMP0500,52,Non-binary
EMP0501,58,Female
EMP0502,56,Prefer not to say
EMP0503,34,Female
EMP0504,36,Non-binary
EMP0505,50,Male
EMP0506,41,Male
EMP0507,27,Female
EMP0508,40,Non-binary
EMP0509,33,Male
EMP0510,45,Prefer not to say
EMP0511,39,Prefer not to say
EMP0512,34,Male
EMP0513,40,Female
EMP0514,49,Female
EMP0515,35,Female
EMP0516,43,Non-binary
EMP0517,59,Female
EMP0518,60,Prefer not to say
EMP0519,42,Female
EMP0520,42,Prefer not to say
EMP0521,37,Male
EMP0522,60,Female
EMP0523,33,Non-binary
EMP0524,60,Male
EMP0525,58,Female
EMP0526,25,Male
EMP0527,30,Prefer not to say
EMP0528,28,Female
EMP0529,28,Non-binary
EMP0530,23,Prefer not to say
EMP0531,36,Female
EMP0532,50,Male
EMP0533,57,Non-binary
EMP0534,44,Male
EMP0535,24,Non-binary
EMP0536,39,Prefer not to say
EMP0537,57,Male
EMP0538,45,Prefer not to say
EMP0539,35,Female
EMP0540,59,Prefer not to say
EMP0541,58,Prefer not to say
EMP0542,48,Male
EMP0543,55,Prefer not to say
EMP0544,60,Male
EMP0545,60,Prefer not to say
EMP0546,23,Non-binary
EMP0547,28,Male
EMP0548,49,Female
EMP0549,45,Male
EMP0550,22,Male
EMP0551,24,Female
EMP0552,39,Male
EMP0553,27,Non-binary
EMP0554,38,Male
EMP0555,50,Female
EMP0556,46,Non-binary
EMP0557,46,Prefer not to say
EMP0558,28,Prefer not to say
EMP0559,53,Prefer not to say
EMP0560,34,Female
EMP0561,35,Female
EMP0562,48,Prefer not to say
EMP0563,25,Male
EMP0564,54,Prefer not to say
EMP0565,37,Male
EMP0566,33,Male
EMP0567,24,Female
EMP0568,52,Prefer not to say
EMP0569,22,Male
EMP0570,48,Prefer not to say
EMP0571,48,Male
EMP0572,47,Female
EMP0573,51,Male
EMP0574,52,Male
EMP0575,41,Female
EMP0576,28,Male
EMP0577,44,Prefer not to say
EMP0578,50,Non-binary
EMP0579,43,Prefer not to say
EMP0580,43,Male
EMP0581,29,Prefer not to say
EMP0582,30,Prefer not to say
EMP0583,50,Prefer not to say
EMP0584,60,Male
EMP0585,31,Prefer not to say
EMP0586,43,Female
EMP0587,58,Female
EMP0588,56,Prefer not to say
EMP0589,40,Non-binary
EMP0590,57,Female
EMP0591,31,Male
EMP0592,35,Female
EMP0593,32,Prefer not to say
EMP0594,31,Prefer not to say
EMP0595,53,Prefer not to say
EMP0596,42,Prefer not to say
EMP0597,35,Male
EMP0598,58,Female
EMP0599,26,Female
EMP0600,45,Non-binary
EMP0601,36,Male
EMP0602,25,Non-binary
EMP0603,55,Prefer not to say
EMP0604,47,Female
EMP0605,46,Female
EMP0606,39,Prefer not to say
EMP0607,27,Male
EMP0608,35,Prefer not to say
EMP0609,60,Female
EMP0610,33,Female
EMP0611,45,Prefer not to say
EMP0612,26,Male
EMP0613,25,Male
EMP0614,57,Female
EMP0615,38,Prefer not to say
EMP0616,50,Non-binary
EMP0617,38,Male
EMP0618,56,Male
EMP0619,54,Non-binary
EMP0620,27,Prefer not to say
EMP0621,29,Non-binary
EMP0622,34,Non-binary
EMP0623,25,Prefer not to say
EMP0624,35,Male
EMP0625,48,Female
EMP0626,28,Female
EMP0627,23,Non-binary
EMP0628,34,Non-binary
EMP0629,53,Prefer not to say
EMP0630,52,Prefer not to say
EMP0631,29,Male
EMP0632,53,Female
EMP0633,42,Male
EMP0634,35,Male
EMP0635,42,Non-binary
EMP0636,45,Male
EMP0637,24,Male
EMP0638,40,Female
EMP0639,52,Non-binary
EMP0640,55,Male
EMP0641,38,Non-binary
EMP0642,50,Male
EMP0643,36,Male
EMP0644,36,Female
EMP0645,34,Male
EMP0646,55,Male
EMP0647,37,Prefer not to say
EMP0648,39,Female
EMP0649,41,Female
EMP0650,58,Male
EMP0651,25,Female
EMP0652,26,Male
EMP0653,23,Male
EMP0654,45,Male
EMP0655,55,Male
EMP0656,23,Male
EMP0657,27,Female
EMP0658,33,Male
EMP0659,54,Non-binary
EMP0660,47,Non-binary
EMP0661,48,Prefer not to say
EMP0662,35,Female
EMP0663,43,Male
EMP0664,43,Female
EMP0665,46,Prefer not to say
EMP0666,38,Non-binary
EMP0667,22,Female
EMP0668,41,Non-binary
EMP0669,50,Male
EMP0670,50,Prefer not to say
EMP0671,42,Prefer not to say
EMP0672,22,Non-binary
EMP0673,60,Female
EMP0674,58,Prefer not to say
EMP0675,32,Non-binary
EMP0676,32,Male
EMP0677,44,Female
EMP0678,42,Prefer not to say
EMP0679,25,Prefer not to say
EMP0680,43,Male
EMP0681,39,Male
EMP0682,53,Prefer not to say
EMP0683,30,Prefer not to say
EMP0684,40,Non-binary
EMP0685,53,Prefer not to say
EMP0686,59,Male
EMP0687,39,Prefer not to say
EMP0688,57,Non-binary
EMP0689,57,Male
EMP0690,45,Prefer not to say
EMP0691,31,Prefer not to say
EMP0692,44,Female
EMP0693,47,Non-binary
EMP0694,54,Non-binary
EMP0695,48,Male
EMP0696,58,Male
EMP0697,29,Male
EMP0698,43,Female
EMP0699,53,Male
EMP0700,43,Prefer not to say
EMP0701,47,Non-binary
EMP0702,26,Non-binary
EMP0703,57,Non-binary
EMP0704,36,Male
EMP0705,26,Male
EMP0706,47,Female
EMP0707,59,Female
EMP0708,59,Male
EMP0709,40,Prefer not to say
EMP0710,31,Female
EMP0711,37,Prefer not to say
EMP0712,54,Prefer not to say
EMP0713,43,Male
EMP0714,24,Female
EMP0715,29,Male
EMP0716,41,Prefer not to say
EMP0717,51,Male
EMP0718,38,Non-binary
EMP0719,56,Male
EMP0720,41,Non-binary
EMP0721,28,Male
EMP0722,49,Prefer not to say
EMP0723,49,Male
EMP0724,55,Non-binary
EMP0725,60,Prefer not to say
EMP0726,45,Female
EMP0727,41,Male
EMP0728,52,Female
EMP0729,60,Prefer not to say
EMP0730,53,Non-binary
EMP0731,42,Prefer not to say
EMP0732,43,Prefer not to say
EMP0733,43,Male
EMP0734,40,Female
EMP0735,49,Male
EMP0736,24,Male
EMP0737,30,Prefer not to say
EMP0738,55,Prefer not to say
EMP0739,28,Prefer not to say
EMP0740,42,Prefer not to say
EMP0741,60,Non-binary
EMP0742,42,Female
EMP0743,55,Male
EMP0744,53,Non-binary
EMP0745,46,Male
EMP0746,26,Non-binary
EMP0747,53,Male
EMP0748,29,Male
EMP0749,43,Female
EMP0750,22,Male
EMP0751,51,Non-binary
EMP0752,33,Prefer not to say
EMP0753,43,Female
EMP0754,56,Female
EMP0755,59,Prefer not to say
EMP0756,47,Male
EMP0757,49,Male
EMP0758,35,Non-binary
EMP0759,58,Non-binary
EMP0760,36,Male
EMP0761,22,Female
EMP0762,33,Male
EMP0763,56,Male
EMP0764,29,Non-binary
EMP0765,39,Male
EMP0766,33,Male
EMP0767,41,Non-binary
EMP0768,40,Female
EMP0769,36,Male
EMP0770,40,Non-binary
EMP0771,33,Female
EMP0772,30,Prefer not to say
EMP0773,40,Non-binary
EMP0774,58,Female
EMP0775,45,Female
EMP0776,40,Female
EMP0777,38,Male
EMP0778,55,Female
EMP0779,29,Male
EMP0780,31,Male
EMP0781,60,Non-binary
EMP0782,40,Non-binary
EMP0783,24,Non-binary
EMP0784,30,Non-binary
EMP0785,28,Prefer not to say
EMP0786,46,Prefer not to say
EMP0787,22,Prefer not to say
EMP0788,22,Non-binary
EMP0789,25,Non-binary
EMP0790,26,Prefer not to say
EMP0791,46,Non-binary
EMP0792,46,Non-binary
EMP0793,60,Prefer not to say
EMP0794,55,Male
EMP0795,25,Prefer not to say
EMP0796,42,Female
EMP0797,30,Non-binary
EMP0798,58,Male
EMP0799,46,Male
EMP0800,36,Female
EMP0801,46,Female
EMP0802,24,Male
EMP0803,27,Male
EMP0804,39,Prefer not to say
EMP0805,40,Non-binary
EMP0806,46,Male
EMP0807,45,Prefer not to say
EMP0808,58,Prefer not to say
EMP0809,33,Female
EMP0810,41,Prefer not to say
EMP0811,42,Non-binary
EMP0812,34,Non-binary
EMP0813,25,Non-binary
EMP0814,46,Female
EMP0815,58,Female
EMP0816,39,Prefer not to say
EMP0817,35,Non-binary
EMP0818,28,Non-binary
EMP0819,35,Male
EMP0820,59,Male
EMP0821,52,Prefer not to say
EMP0822,52,Male
EMP0823,51,Non-binary
EMP0824,42,Female
EMP0825,48,Prefer not to say
EMP0826,24,Female
EMP0827,45,Prefer not to say
EMP0828,32,Female
EMP0829,50,Prefer not to say
EMP0830,46,Non-binary
EMP0831,43,Prefer not to say
EMP0832,30,Female
EMP0833,24,Male
EMP0834,43,Female
EMP0835,46,Male
EMP0836,55,Non-binary
EMP0837,46,Non-binary
EMP0838,50,Prefer not to say
EMP0839,54,Female
EMP0840,31,Prefer not to say
EMP0841,51,Non-binary
EMP0842,51,Non-binary
EMP0843,41,Prefer not to say
EMP0844,60,Prefer not to say
EMP0845,27,Prefer not to say
EMP0846,39,Male
EMP0847,57,Prefer not to say
EMP0848,32,Prefer not to say
EMP0849,42,Non-binary
EMP0850,43,Non-binary
EMP0851,58,Prefer not to say
EMP0852,25,Male
EMP0853,59,Female
EMP0854,28,Prefer not to say
EMP0855,41,Female
EMP0856,45,Non-binary
EMP0857,37,Male
EMP0858,27,Non-binary
EMP0859,46,Female
EMP0860,48,Prefer not to say
EMP0861,35,Prefer not to say
EMP0862,32,Male
EMP0863,36,Female
EMP0864,24,Non-binary
EMP0865,58,Female
EMP0866,53,Non-binary
EMP0867,35,Prefer not to say
EMP0868,26,Prefer not to say
EMP0869,50,Non-binary
EMP0870,33,Non-binary
EMP0871,30,Female
EMP0872,60,Non-binary
EMP0873,59,Female
EMP0874,57,Non-binary
EMP0875,47,Prefer not to say
EMP0876,37,Prefer not to say
EMP0877,37,Non-binary
EMP0878,35,Male
EMP0879,49,Non-binary
EMP0880,42,Female
EMP0881,53,Non-binary
EMP0882,29,Male
EMP0883,31,Female
EMP0884,47,Non-binary
EMP0885,57,Male
EMP0886,59,Non-binary
EMP0887,51,Female
EMP0888,30,Female
EMP0889,46,Prefer not to say
EMP0890,39,Female
EMP0891,57,Prefer not to say
EMP0892,36,Female
EMP0893,28,Prefer not to say
EMP0894,60,Prefer not to say
EMP0895,38,Prefer not to say
EMP0896,45,Male
EMP0897,53,Male
EMP0898,57,Non-binary
EMP0899,56,Male
EMP0900,33,Male
EMP0901,33,Female
EMP0902,60,Female
EMP0903,39,Non-binary
EMP0904,58,Male
EMP0905,60,Non-binary
EMP0906,43,Male
EMP0907,48,Non-binary
EMP0908,60,Male
EMP0909,45,Female
EMP0910,58,Prefer not to say
EMP0911,22,Prefer not to say
EMP0912,42,Non-binary
EMP0913,44,Non-binary
EMP0914,43,Prefer not to say
EMP0915,35,Male
EMP0916,47,Prefer not to say
EMP0917,49,Non-binary
EMP0918,49,Female
EMP0919,40,Non-binary
EMP0920,27,Female
EMP0921,34,Male
EMP0922,48,Prefer not to say
EMP0923,46,Male
EMP0924,27,Female
EMP0925,50,Prefer not to say
EMP0926,23,Non-binary
EMP0927,35,Prefer not to say
EMP0928,59,Prefer not to say
EMP0929,27,Male
EMP0930,22,Male
EMP0931,41,Prefer not to say
EMP0932,58,Male
EMP0933,30,Male
EMP0934,22,Prefer not to say
EMP0935,34,Male
EMP0936,48,Female
EMP0937,29,Non-binary
EMP0938,47,Male
EMP0939,51,Non-binary
EMP0940,60,Female
EMP0941,48,Non-binary
EMP0942,38,Prefer not to say
EMP0943,58,Female
EMP0944,35,Non-binary
EMP0945,32,Female
EMP0946,30,Male
EMP0947,29,Male
EMP0948,45,Prefer not to say
EMP0949,45,Non-binary
EMP0950,41,Female
EMP0951,56,Prefer not to say
EMP0952,49,Non-binary
EMP0953,32,Male
EMP0954,58,Male
EMP0955,41,Female
EMP0956,42,Prefer not to say
EMP0957,36,Non-binary
EMP0958,31,Male
EMP0959,46,Prefer not to say
EMP0960,41,Prefer not to say
EMP0961,52,Male
EMP0962,51,Female
EMP0963,23,Non-binary
EMP0964,34,Female
EMP0965,37,Prefer not to say
EMP0966,40,Non-binary
EMP0967,46,Non-binary
EMP0968,28,Prefer not to say
EMP0969,26,Male
EMP0970,25,Female
EMP0971,30,Female
EMP0972,57,Male
EMP0973,33,Male
EMP0974,38,Female
EMP0975,43,Female
EMP0976,43,Prefer not to say
EMP0977,44,Female
EMP0978,52,Prefer not to say
EMP0979,25,Male
EMP0980,28,Female
EMP0981,26,Non-binary
EMP0982,32,Female
EMP0983,28,Female
EMP0984,32,Prefer not to say
EMP0985,25,Non-binary
EMP0986,57,Non-binary
EMP0987,28,Non-binary
EMP0988,51,Male
EMP0989,60,Prefer not to say
EMP0990,49,Female
EMP0991,30,Male
EMP0992,35,Prefer not to say
EMP0993,45,Non-binary
EMP0994,42,Non-binary
EMP0995,38,Non-binary
EMP0996,36,Non-binary
EMP0997,23,Female
EMP0998,41,Non-binary
EMP0999,43,Male
EMP1000,53,Non-binary
EMP1001,52,Female
EMP1002,52,Prefer not to say
EMP1003,42,Female
EMP1004,49,Female
EMP1005,48,Female
EMP1006,37,Female
EMP1007,57,Female
EMP1008,59,Female
EMP1009,36,Male
EMP1010,31,Female
EMP1011,24,Male
EMP1012,34,Non-binary
EMP1013,43,Male
EMP1014,25,Prefer not to say
EMP1015,27,Non-binary
EMP1016,58,Non-binary
EMP1017,50,Female
EMP1018,41,Non-binary
EMP1019,38,Male
EMP1020,24,Prefer not to say
EMP1021,38,Female
EMP1022,37,Male
EMP1023,59,Non-binary
EMP1024,31,Male
EMP1025,24,Female
EMP1026,30,Male
EMP1027,54,Male
EMP1028,53,Non-binary
EMP1029,41,Female
EMP1030,24,Prefer not to say
EMP1031,25,Prefer not to say
EMP1032,47,Female
EMP1033,24,Non-binary
EMP1034,60,Prefer not to say
EMP1035,59,Male
EMP1036,26,Non-binary
EMP1037,22,Male
EMP1038,28,Non-binary
EMP1039,52,Male
EMP1040,57,Male
EMP1041,57,Non-binary
EMP1042,50,Female
EMP1043,46,Non-binary
EMP1044,37,Male
EMP1045,55,Non-binary
EMP1046,37,Male
EMP1047,22,Prefer not to say
EMP1048,50,Male
EMP1049,45,Non-binary
EMP1050,36,Non-binary
EMP1051,45,Non-binary
EMP1052,40,Male
EMP1053,29,Male
EMP1054,24,Female
EMP1055,42,Non-binary
EMP1056,34,Female
EMP1057,40,Non-binary
EMP1058,27,Non-binary
EMP1059,33,Female
EMP1060,24,Male
EMP1061,36,Non-binary
EMP1062,45,Female
EMP1063,23,Non-binary
EMP1064,59,Prefer not to say
EMP1065,54,Male
EMP1066,38,Prefer not to say
EMP1067,52,Male
EMP1068,47,Male
EMP1069,44,Female
EMP1070,56,Female
EMP1071,27,Non-binary
EMP1072,48,Male
EMP1073,23,Prefer not to say
EMP1074,50,Non-binary
EMP1075,50,Non-binary
EMP1076,56,Non-binary
EMP1077,28,Male
