Employee_ID,Work_Life_Balance_Rating,Access_to_Mental_Health_Resources,Productivity_Change,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Region
EMP0154,1,Yes,No Change,Unsatisfied,2,Asia
EMP0155,1,Yes,No Change,Unsatisfied,4,North America
EMP0156,1,No,Decrease,Neutral,1,North America
EMP0157,4,No,Decrease,Satisfied,2,South America
EMP0158,3,No,No Change,Neutral,3,North America
EMP0159,3,Yes,Increase,Unsatisfied,3,South America
EMP0160,5,No,Increase,Satisfied,3,Oceania
EMP0161,4,No,Decrease,Satisfied,1,Africa
EMP0162,3,Yes,No Change,Neutral,1,Africa
EMP0163,1,No,Increase,Unsatisfied,2,South America
EMP0164,1,No,Increase,Neutral,1,Africa
EMP0165,1,No,Increase,Neutral,1,Oceania
EMP0166,2,Yes,Increase,Neutral,5,Africa
EMP0167,2,Yes,No Change,Satisfied,2,Africa
EMP0168,2,No,No Change,Satisfied,3,Asia
EMP0169,2,Yes,No Change,Satisfied,2,Europe
EMP0170,1,Yes,Increase,Satisfied,3,Europe
EMP0171,1,No,Increase,Neutral,3,North America
EMP0172,4,No,Decrease,Unsatisfied,4,Europe
EMP0173,1,No,No Change,Satisfied,3,South America
EMP0174,2,Yes,Increase,Neutral,4,North America
EMP0175,2,Yes,Decrease,Unsatisfied,5,Europe
EMP0176,3,Yes,No Change,Satisfied,4,Europe
EMP0177,3,No,No Change,Satisfied,4,North America
EMP0178,1,No,Decrease,Neutral,2,Europe
EMP0179,4,No,Increase,Satisfied,4,South America
EMP0180,2,Yes,Decrease,Unsatisfied,1,South America
EMP0181,1,Yes,Decrease,Neutral,2,Europe
EMP0182,5,Yes,Decrease,Unsatisfied,4,South America
EMP0183,2,Yes,Increase,Satisfied,1,Europe
EMP0184,3,No,No Change,Neutral,2,Africa
EMP0185,5,No,Decrease,Neutral,2,Europe
EMP0186,1,No,No Change,Unsatisfied,1,Asia
EMP0187,5,Yes,Decrease,Unsatisfied,4,Oceania
EMP0188,5,No,No Change,Neutral,5,Oceania
EMP0189,5,No,No Change,Unsatisfied,3,Oceania
EMP0190,1,Yes,No Change,Satisfied,2,North America
EMP0191,3,No,Decrease,Satisfied,2,Europe
EMP0192,1,Yes,No Change,Unsatisfied,3,North America
EMP0193,5,No,No Change,Unsatisfied,2,South America
EMP0194,2,No,Decrease,Neutral,1,South America
EMP0195,1,No,No Change,Neutral,4,Africa
EMP0196,2,No,Decrease,Neutral,4,North America
EMP0197,1,Yes,Increase,Neutral,5,Oceania
EMP0198,1,Yes,Decrease,Neutral,4,South America
EMP0199,4,Yes,Decrease,Unsatisfied,3,Oceania
EMP0200,3,No,Decrease,Unsatisfied,2,South America
EMP0201,4,No,Increase,Neutral,1,Oceania
EMP0202,2,No,Decrease,Neutral,3,Asia
EMP0203,5,No,Decrease,Satisfied,1,Asia
EMP0204,3,No,No Change,Neutral,1,South America
EMP0205,5,No,No Change,Unsatisfied,2,Asia
EMP0206,5,Yes,Increase,Satisfied,5,Oceania
EMP0207,3,Yes,No Change,Unsatisfied,5,Africa
EMP0208,3,No,Decrease,Unsatisfied,2,Europe
EMP0209,4,Yes,Decrease,Satisfied,4,North America
EMP0210,2,No,No Change,Unsatisfied,5,Africa
EMP0211,5,Yes,No Change,Satisfied,4,Europe
EMP0212,4,No,No Change,Satisfied,4,North America
EMP0213,1,No,No Change,Satisfied,4,Oceania
EMP0214,1,Yes,Decrease,Satisfied,5,Europe
EMP0215,1,No,Increase,Neutral,4,South America
EMP0216,2,No,Decrease,Neutral,4,Europe
EMP0217,3,No,Increase,Satisfied,4,Oceania
EMP0218,2,Yes,Increase,Neutral,2,Europe
EMP0219,3,No,No Change,Satisfied,4,Asia
EMP0220,4,No,No Change,Unsatisfied,1,South America
EMP0221,5,No,Decrease,Satisfied,5,Oceania
EMP0222,4,No,Increase,Neutral,5,Asia
EMP0223,3,Yes,No Change,Unsatisfied,2,Asia
EMP0224,3,Yes,Decrease,Satisfied,1,Africa
EMP0225,1,No,Increase,Unsatisfied,2,North America
EMP0226,1,Yes,Increase,Neutral,1,Africa
EMP0227,5,Yes,Increase,Satisfied,4,South America
EMP0228,2,Yes,Increase,Satisfied,3,Asia
EMP0229,3,No,Decrease,Neutral,5,Oceania
EMP0230,2,Yes,Decrease,Satisfied,1,Europe
EMP0231,1,No,No Change,Unsatisfied,4,Africa
EMP0232,4,No,Decrease,Satisfied,2,Oceania
EMP0233,5,No,Decrease,Unsatisfied,2,Africa
EMP0234,3,Yes,Increase,Neutral,2,Asia
EMP0235,4,No,No Change,Neutral,5,Africa
EMP0236,2,No,No Change,Unsatisfied,4,Oceania
EMP0237,1,No,Decrease,Neutral,1,Europe
EMP0238,5,Yes,No Change,Satisfied,4,Europe
EMP0239,5,Yes,Increase,Neutral,1,North America
EMP0240,1,No,No Change,Neutral,1,South America
EMP0241,4,No,No Change,Neutral,2,Oceania
EMP0242,2,Yes,Increase,Satisfied,3,North America
EMP0243,1,No,Decrease,Neutral,4,Oceania
EMP0244,2,No,Decrease,Neutral,1,Europe
EMP0245,2,Yes,No Change,Neutral,3,North America
EMP0246,2,Yes,Increase,Satisfied,3,South America
EMP0247,5,No,Increase,Neutral,1,South America
EMP0248,1,Yes,Increase,Unsatisfied,4,Oceania
EMP0249,3,No,Decrease,Neutral,5,Africa
EMP0250,5,Yes,No Change,Satisfied,2,Africa
EMP0251,1,Yes,Increase,Satisfied,2,South America
EMP0252,4,Yes,No Change,Unsatisfied,1,Oceania
EMP0253,3,Yes,Increase,Neutral,3,Oceania
EMP0254,3,No,Increase,Unsatisfied,3,Africa
EMP0255,5,Yes,Decrease,Neutral,2,Africa
EMP0256,3,Yes,Decrease,Unsatisfied,5,Oceania
EMP0257,1,No,Increase,Unsatisfied,2,Europe
EMP0258,3,No,Decrease,Satisfied,3,Oceania
EMP0259,1,No,No Change,Satisfied,3,Oceania
EMP0260,2,Yes,Increase,Neutral,5,Asia
EMP0261,4,No,Increase,Neutral,3,North America
EMP0262,1,No,No Change,Neutral,1,Asia
EMP0263,3,No,No Change,Neutral,2,Africa
EMP0264,5,No,Decrease,Neutral,5,Asia
EMP0265,1,No,No Change,Satisfied,5,Europe
EMP0266,4,Yes,No Change,Satisfied,4,Europe
EMP0267,3,No,Decrease,Satisfied,5,South America
EMP0268,4,No,Decrease,Unsatisfied,3,South America
EMP0269,4,No,Increase,Unsatisfied,3,Europe
EMP0270,4,Yes,Increase,Neutral,4,Africa
EMP0271,4,Yes,Increase,Satisfied,5,South America
EMP0272,2,Yes,No Change,Satisfied,2,Oceania
EMP0273,4,Yes,Decrease,Unsatisfied,4,Asia
EMP0274,3,No,Decrease,Neutral,2,Asia
EMP0275,2,No,Decrease,Satisfied,3,Oceania
EMP0276,4,Yes,No Change,Satisfied,4,Europe
EMP0277,4,No,Decrease,Satisfied,1,Asia
EMP0278,3,No,Increase,Neutral,5,Asia
EMP0279,4,Yes,Decrease,Unsatisfied,4,Africa
EMP0280,1,No,No Change,Satisfied,5,North America
EMP0281,1,Yes,No Change,Unsatisfied,1,Asia
EMP0282,5,No,No Change,Satisfied,3,Europe
EMP0283,1,No,Decrease,Neutral,4,Asia
EMP0284,5,Yes,Increase,Unsatisfied,3,Asia
EMP0285,2,No,Decrease,Neutral,2,Oceania
EMP0286,4,Yes,Decrease,Unsatisfied,1,Asia
EMP0287,4,No,Increase,Unsatisfied,2,Africa
EMP0288,2,Yes,Decrease,Neutral,1,Africa
EMP0289,4,No,Decrease,Neutral,2,Africa
EMP0290,4,No,No Change,Neutral,2,North America
EMP0291,1,No,Decrease,Satisfied,3,Europe
EMP0292,4,Yes,Decrease,Neutral,1,Asia
EMP0293,3,Yes,Increase,Neutral,3,Africa
EMP0294,5,Yes,Decrease,Satisfied,3,Asia
EMP0295,4,No,Decrease,Unsatisfied,4,Europe
EMP0296,3,Yes,Decrease,Satisfied,3,North America
EMP0297,3,No,No Change,Satisfied,2,Europe
EMP0298,5,No,No Change,Neutral,5,Asia
EMP0299,2,No,Decrease,Neutral,2,North America
EMP0300,1,No,Decrease,Satisfied,2,Oceania
EMP0301,3,Yes,Decrease,Neutral,3,Oceania
EMP0302,2,Yes,Decrease,Unsatisfied,5,Europe
EMP0303,3,No,Increase,Satisfied,2,Africa
EMP0304,1,Yes,No Change,Neutral,2,South America
EMP0305,4,Yes,Decrease,Satisfied,5,Africa
EMP0306,5,Yes,No Change,Unsatisfied,5,Europe
EMP0307,2,Yes,Decrease,Unsatisfied,5,Asia
EMP0308,4,Yes,Increase,Satisfied,2,North America
EMP0309,3,Yes,Increase,Satisfied,4,Africa
EMP0310,2,Yes,No Change,Satisfied,2,Africa
EMP0311,3,Yes,No Change,Neutral,1,Asia
EMP0312,1,No,Decrease,Neutral,4,Oceania
EMP0313,5,Yes,Increase,Neutral,1,South America
EMP0314,3,Yes,Decrease,Satisfied,5,Africa
EMP0315,3,Yes,Decrease,Satisfied,4,North America
EMP0316,5,No,Increase,Neutral,5,Asia
EMP0317,2,Yes,Decrease,Neutral,1,Asia
EMP0318,2,Yes,Increase,Unsatisfied,2,Europe
EMP0319,2,No,No Change,Satisfied,5,Africa
EMP0320,4,Yes,No Change,Neutral,2,Europe
EMP0321,2,Yes,Increase,Neutral,3,Africa
EMP0322,3,No,Increase,Unsatisfied,5,South America
EMP0323,3,Yes,Decrease,Neutral,5,Asia
EMP0324,1,Yes,Increase,Unsatisfied,2,Asia
EMP0325,4,No,Decrease,Unsatisfied,1,Oceania
EMP0326,2,Yes,Decrease,Satisfied,3,Oceania
EMP0327,2,No,Increase,Satisfied,4,North America
EMP0328,2,Yes,Increase,Satisfied,3,Oceania
EMP0329,1,Yes,Increase,Neutral,4,South America
EMP0330,5,Yes,Increase,Unsatisfied,5,North America
EMP0331,5,No,Increase,Satisfied,3,Africa
EMP0332,5,Yes,Decrease,Satisfied,5,Europe
EMP0333,4,Yes,Decrease,Neutral,4,Asia
EMP0334,2,No,Increase,Unsatisfied,4,Oceania
EMP0335,4,Yes,Increase,Satisfied,3,Africa
EMP0336,2,Yes,Increase,Satisfied,1,Asia
EMP0337,4,Yes,Decrease,Unsatisfied,2,South America
EMP0338,5,No,Increase,Neutral,2,North America
EMP0339,2,No,Decrease,Unsatisfied,1,Europe
EMP0340,5,No,No Change,Neutral,5,South America
EMP0341,1,Yes,No Change,Unsatisfied,2,North America
EMP0342,2,Yes,Decrease,Satisfied,4,Asia
EMP0343,5,Yes,Increase,Unsatisfied,3,North America
EMP0344,3,Yes,No Change,Satisfied,5,South America
EMP0345,2,No,Decrease,Satisfied,4,Africa
EMP0346,4,No,Decrease,Unsatisfied,5,North America
EMP0347,1,Yes,No Change,Unsatisfied,3,Africa
EMP0348,4,Yes,No Change,Unsatisfied,3,Africa
EMP0349,3,Yes,Decrease,Neutral,5,Asia
EMP0350,1,Yes,Decrease,Unsatisfied,4,Africa
EMP0351,1,Yes,Decrease,Unsatisfied,2,South America
EMP0352,3,No,Increase,Neutral,3,North America
EMP0353,1,No,Decrease,Satisfied,2,South America
EMP0354,2,Yes,Decrease,Unsatisfied,5,Africa
EMP0355,5,Yes,Increase,Satisfied,3,Africa
EMP0356,1,Yes,Increase,Satisfied,2,South America
EMP0357,1,No,Increase,Neutral,2,Asia
EMP0358,3,Yes,Decrease,Unsatisfied,3,Asia
EMP0359,3,No,Increase,Neutral,4,South America
EMP0360,2,Yes,Decrease,Satisfied,2,Europe
EMP0361,1,No,Increase,Satisfied,5,Asia
EMP0362,1,Yes,Increase,Satisfied,5,Europe
EMP0363,4,Yes,Increase,Satisfied,4,South America
EMP0364,3,Yes,No Change,Unsatisfied,2,South America
EMP0365,1,No,No Change,Neutral,2,Africa
EMP0366,4,No,Decrease,Neutral,2,South America
EMP0367,5,No,Increase,Neutral,2,Europe
EMP0368,2,No,Decrease,Neutral,1,Europe
EMP0369,1,Yes,No Change,Satisfied,2,South America
EMP0370,4,No,No Change,Neutral,5,Africa
EMP0371,1,Yes,Decrease,Satisfied,5,Oceania
EMP0372,4,No,Increase,Unsatisfied,4,Europe
EMP0373,5,No,No Change,Neutral,4,Africa
EMP0374,3,Yes,Increase,Unsatisfied,2,Oceania
EMP0375,1,Yes,Increase,Unsatisfied,3,Oceania
EMP0376,3,No,Decrease,Neutral,2,Oceania
EMP0377,1,No,Decrease,Neutral,4,South America
EMP0378,5,No,No Change,Unsatisfied,5,Europe
EMP0379,5,Yes,Increase,Neutral,1,Africa
EMP0380,2,No,Decrease,Neutral,1,Oceania
EMP0381,3,Yes,Increase,Unsatisfied,2,Africa
EMP0382,2,No,No Change,Neutral,4,South America
EMP0383,3,No,Decrease,Neutral,2,North America
EMP0384,3,Yes,No Change,Satisfied,4,Europe
EMP0385,2,Yes,Increase,Neutral,4,Asia
EMP0386,1,No,Increase,Unsatisfied,2,Oceania
EMP0387,3,Yes,No Change,Neutral,5,Africa
EMP0388,5,No,Decrease,Neutral,3,Africa
EMP0389,5,Yes,No Change,Neutral,3,South America
EMP0390,5,No,No Change,Satisfied,1,Europe
EMP0391,3,No,Decrease,Satisfied,3,North America
EMP0392,5,No,Increase,Unsatisfied,1,South America
EMP0393,5,No,No Change,Neutral,4,Africa
EMP0394,4,Yes,No Change,Satisfied,5,North America
EMP0395,2,Yes,No Change,Neutral,5,Oceania
EMP0396,3,No,Increase,Satisfied,5,Africa
EMP0397,5,No,No Change,Unsatisfied,1,Europe
EMP0398,1,No,Increase,Neutral,1,Europe
EMP0399,2,No,No Change,Neutral,5,Europe
EMP0400,5,Yes,Decrease,Satisfied,3,Africa
EMP0401,4,Yes,No Change,Neutral,2,Asia
EMP0402,4,No,Decrease,Satisfied,1,South America
EMP0403,2,No,Decrease,Neutral,2,Africa
EMP0404,3,Yes,Increase,Unsatisfied,1,Europe
EMP0405,4,No,Increase,Unsatisfied,1,Asia
EMP0406,4,No,No Change,Neutral,1,Europe
EMP0407,3,Yes,Decrease,Satisfied,3,South America
EMP0408,4,No,Decrease,Satisfied,1,Oceania
EMP0409,1,No,Decrease,Satisfied,5,North America
EMP0410,2,No,No Change,Unsatisfied,3,South America
EMP0411,2,No,No Change,Unsatisfied,4,Europe
EMP0412,5,Yes,Decrease,Unsatisfied,2,South America
EMP0413,1,Yes,No Change,Neutral,3,Europe
EMP0414,1,No,Decrease,Satisfied,1,South America
EMP0415,3,No,Increase,Satisfied,5,Oceania
EMP0416,4,No,Decrease,Satisfied,5,North America
EMP0417,4,No,No Change,Unsatisfied,3,Asia
EMP0418,2,No,Increase,Unsatisfied,5,Oceania
EMP0419,4,No,No Change,Neutral,4,Asia
EMP0420,2,Yes,No Change,Neutral,1,Africa
EMP0421,1,Yes,Decrease,Satisfied,2,Asia
EMP0422,1,Yes,Increase,Satisfied,3,Oceania
EMP0423,2,No,Decrease,Unsatisfied,4,Europe
EMP0424,5,Yes,Increase,Neutral,1,North America
EMP0425,2,Yes,Increase,Neutral,5,Asia
EMP0426,1,Yes,Decrease,Neutral,1,Asia
EMP0427,2,Yes,Increase,Neutral,3,Europe
EMP0428,4,Yes,No Change,Satisfied,5,Oceania
EMP0429,1,Yes,No Change,Neutral,1,North America
EMP0430,5,Yes,Increase,Satisfied,5,Europe
EMP0431,3,Yes,Increase,Unsatisfied,2,Oceania
EMP0432,3,No,No Change,Unsatisfied,1,North America
EMP0433,5,Yes,Decrease,Neutral,2,South America
EMP0434,2,No,Decrease,Neutral,1,Oceania
EMP0435,5,Yes,Decrease,Satisfied,2,Oceania
EMP0436,2,Yes,No Change,Satisfied,3,Oceania
EMP0437,4,No,Increase,Unsatisfied,1,Europe
EMP0438,2,Yes,Decrease,Neutral,1,Asia
EMP0439,4,Yes,Increase,Satisfied,3,Europe
EMP0440,1,No,Decrease,Neutral,1,Asia
EMP0441,2,No,Decrease,Satisfied,4,South America
EMP0442,4,Yes,No Change,Neutral,5,North America
EMP0443,1,Yes,Decrease,Unsatisfied,5,Oceania
EMP0444,5,No,Increase,Unsatisfied,1,Oceania
EMP0445,3,No,Increase,Neutral,4,Africa
EMP0446,2,Yes,No Change,Unsatisfied,1,Africa
EMP0447,5,No,Increase,Unsatisfied,3,North America
EMP0448,3,No,Increase,Satisfied,2,South America
EMP0449,1,No,Decrease,Unsatisfied,5,Asia
EMP0450,1,Yes,Decrease,Unsatisfied,4,Europe
EMP0451,5,Yes,No Change,Satisfied,5,North America
EMP0452,3,No,No Change,Satisfied,5,Oceania
EMP0453,4,Yes,Increase,Unsatisfied,1,Oceania
EMP0454,4,No,Decrease,Unsatisfied,3,Asia
EMP0455,3,No,Decrease,Satisfied,4,Asia
EMP0456,4,No,Increase,Satisfied,1,South America
EMP0457,3,Yes,No Change,Neutral,5,Africa
EMP0458,2,Yes,No Change,Unsatisfied,3,Oceania
EMP0459,3,No,No Change,Satisfied,3,Asia
EMP0460,5,Yes,Increase,Unsatisfied,3,Africa
EMP0461,2,No,Decrease,Satisfied,2,Europe
EMP0462,5,No,Decrease,Neutral,2,Europe
EMP0463,1,No,Decrease,Satisfied,3,Europe
EMP0464,3,No,No Change,Satisfied,5,North America
EMP0465,4,Yes,No Change,Unsatisfied,2,Europe
EMP0466,1,No,Decrease,Unsatisfied,2,Europe
EMP0467,2,Yes,Increase,Neutral,2,Europe
EMP0468,1,Yes,Decrease,Satisfied,1,Oceania
EMP0469,1,Yes,Decrease,Satisfied,1,Asia
EMP0470,4,Yes,No Change,Unsatisfied,3,Africa
EMP0471,2,No,No Change,Neutral,2,Europe
EMP0472,2,No,Decrease,Neutral,2,Africa
EMP0473,3,Yes,Decrease,Satisfied,1,Europe
EMP0474,2,No,Decrease,Unsatisfied,2,Asia
EMP0475,2,Yes,Increase,Satisfied,5,Africa
EMP0476,3,Yes,No Change,Satisfied,5,South America
EMP0477,2,No,Increase,Unsatisfied,4,Africa
EMP0478,4,No,Decrease,Satisfied,2,Africa
EMP0479,1,Yes,Decrease,Unsatisfied,5,South America
EMP0480,4,Yes,No Change,Unsatisfied,1,Africa
EMP0481,2,No,Decrease,Neutral,5,North America
EMP0482,2,Yes,Decrease,Unsatisfied,1,Africa
EMP0483,3,Yes,Decrease,Neutral,3,Africa
EMP0484,2,No,Increase,Satisfied,3,Africa
EMP0485,1,No,Increase,Satisfied,5,Europe
EMP0486,5,No,No Change,Neutral,2,South America
EMP0487,1,No,Increase,Neutral,4,Africa
EMP0488,1,No,No Change,Neutral,4,South America
EMP0489,3,Yes,Increase,Unsatisfied,1,Asia
EMP0490,5,Yes,Increase,Unsatisfied,3,Oceania
EMP0491,2,No,No Change,Satisfied,5,Oceania
EMP0492,4,Yes,Increase,Neutral,3,North America
EMP0493,1,Yes,No Change,Neutral,3,South America
EMP0494,1,Yes,Decrease,Unsatisfied,5,Europe
EMP0495,4,No,Decrease,Neutral,5,North America
EMP0496,2,Yes,No Change,Neutral,2,Europe
EMP0497,4,Yes,No Change,Unsatisfied,3,North America
EMP0498,4,Yes,No Change,Neutral,2,North America
EMP0499,4,No,Increase,Unsatisfied,5,North America
EMP0500,3,Yes,Decrease,Neutral,3,Asia
EMP0501,5,No,Decrease,Unsatisfied,1,Europe
EMP0502,1,No,No Change,Unsatisfied,5,Oceania
EMP0503,3,No,Increase,Unsatisfied,2,Africa
