Employee_ID,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings
EMP0082,Software Engineer,Finance,33,Onsite,44,9
EMP0083,HR,Education,32,Hybrid,26,10
EMP0084,Project Manager,Healthcare,15,Hybrid,43,6
EMP0085,Designer,Retail,9,Hybrid,42,14
EMP0086,Designer,Finance,20,Hybrid,44,8
EMP0087,Project Manager,Manufacturing,10,Onsite,27,0
EMP0088,Data Scientist,Education,26,Hybrid,43,5
EMP0089,Designer,Consulting,11,Remote,38,0
EMP0090,Marketing,Healthcare,23,Hybrid,38,4
EMP0091,Data Scientist,Retail,2,Onsite,57,4
EMP0092,Software Engineer,Manufacturing,9,Onsite,60,3
EMP0093,Data Scientist,IT,31,Onsite,29,0
EMP0094,Data Scientist,Education,34,Remote,54,12
EMP0095,Project Manager,Education,11,Onsite,31,11
EMP0096,Project Manager,Manufacturing,2,Remote,54,8
EMP0097,Data Scientist,Healthcare,31,Hybrid,33,11
EMP0098,Designer,IT,32,Hybrid,25,1
EMP0099,Data Scientist,Healthcare,19,Onsite,21,15
EMP0100,Project Manager,IT,12,Hybrid,45,10
EMP0101,Designer,Manufacturing,32,Onsite,53,5
EMP0102,Sales,Consulting,9,Hybrid,46,12
EMP0103,Sales,IT,3,Hybrid,22,9
EMP0104,Software Engineer,Finance,18,Hybrid,60,12
EMP0105,Designer,Education,30,Hybrid,42,2
EMP0106,Data Scientist,Healthcare,18,Onsite,60,2
EMP0107,HR,IT,25,Onsite,35,14
EMP0108,Software Engineer,Healthcare,27,Hybrid,44,2
EMP0109,Software Engineer,Healthcare,2,Remote,50,2
EMP0110,Data Scientist,Finance,4,Remote,22,7
EMP0111,Data Scientist,Education,29,Hybrid,29,13
EMP0112,HR,Finance,30,Remote,34,8
EMP0113,Marketing,Retail,10,Remote,30,7
EMP0114,Data Scientist,Retail,21,Onsite,53,0
EMP0115,Designer,Healthcare,25,Remote,29,5
EMP0116,Marketing,Education,35,Onsite,27,1
EMP0117,Project Manager,Finance,5,Onsite,44,14
EMP0118,Data Scientist,Education,25,Remote,42,13
EMP0119,Data Scientist,Manufacturing,1,Hybrid,22,4
EMP0120,Project Manager,Consulting,27,Hybrid,34,13
EMP0121,Project Manager,Manufacturing,29,Onsite,51,13
EMP0122,Marketing,Retail,18,Hybrid,48,6
EMP0123,Software Engineer,Healthcare,35,Onsite,30,10
EMP0124,Sales,Consulting,14,Onsite,59,7
EMP0125,HR,Manufacturing,27,Remote,26,14
EMP0126,Data Scientist,Finance,27,Hybrid,60,1
EMP0127,Marketing,Retail,8,Onsite,38,2
EMP0128,Project Manager,Finance,21,Remote,34,0
EMP0129,Designer,Consulting,15,Onsite,46,12
EMP0130,Sales,Retail,21,Hybrid,35,2
EMP0131,Designer,Education,16,Remote,23,9
EMP0132,Marketing,Manufacturing,26,Remote,28,15
EMP0133,Marketing,Retail,4,Onsite,57,10
EMP0134,Marketing,Manufacturing,29,Hybrid,29,4
EMP0135,Marketing,Finance,2,Hybrid,39,1
EMP0136,Marketing,IT,26,Remote,46,4
EMP0137,Data Scientist,Healthcare,14,Remote,26,9
EMP0138,Sales,IT,10,Remote,32,4
EMP0139,Data Scientist,Education,34,Remote,30,11
EMP0140,Project Manager,Education,11,Hybrid,48,3
EMP0141,Project Manager,Education,12,Onsite,44,13
EMP0142,Project Manager,Healthcare,29,Hybrid,49,15
EMP0143,Designer,Manufacturing,11,Hybrid,23,0
EMP0144,Designer,Finance,3,Onsite,33,6
EMP0145,HR,Education,18,Remote,35,15
EMP0146,Marketing,Consulting,5,Remote,41,8
EMP0147,Software Engineer,Healthcare,3,Hybrid,34,12
EMP0148,Designer,Finance,14,Remote,44,10
EMP0149,Designer,IT,10,Onsite,52,8
EMP0150,Designer,Consulting,17,Onsite,57,11
EMP0151,Software Engineer,Consulting,34,Remote,32,15
EMP0152,Designer,Consulting,20,Remote,31,6
EMP0153,Software Engineer,Healthcare,29,Hybrid,58,15
EMP0154,Data Scientist,Consulting,31,Remote,26,9
EMP0155,Software Engineer,Consulting,17,Remote,57,5
EMP0156,Project Manager,Healthcare,31,Onsite,20,8
EMP0157,Project Manager,Finance,23,Hybrid,26,0
EMP0158,Data Scientist,Finance,21,Hybrid,43,15
EMP0159,Designer,Manufacturing,6,Onsite,50,14
EMP0160,Software Engineer,Healthcare,14,Onsite,52,0
EMP0161,Marketing,IT,34,Hybrid,37,1
EMP0162,Data Scientist,Education,24,Hybrid,38,0
EMP0163,Designer,Consulting,3,Hybrid,55,11
EMP0164,Data Scientist,Manufacturing,5,Hybrid,53,14
EMP0165,Software Engineer,Healthcare,11,Onsite,20,13
EMP0166,Software Engineer,Manufacturing,10,Hybrid,46,1
EMP0167,Software Engineer,Education,35,Onsite,30,8
EMP0168,Software Engineer,Retail,27,Remote,50,8
EMP0169,HR,Healthcare,15,Remote,50,13
EMP0170,Project Manager,Manufacturing,10,Hybrid,50,0
EMP0171,Designer,Retail,19,Remote,23,7
EMP0172,Data Scientist,Retail,33,Onsite,45,3
EMP0173,Software Engineer,Finance,11,Hybrid,25,4
EMP0174,Designer,Manufacturing,35,Remote,36,9
EMP0175,HR,Education,10,Onsite,60,3
EMP0176,Project Manager,Healthcare,12,Remote,35,7
EMP0177,Marketing,Manufacturing,14,Hybrid,55,12
EMP0178,Project Manager,Finance,31,Onsite,47,10
EMP0179,HR,Healthcare,32,Hybrid,57,10
EMP0180,HR,Education,17,Hybrid,22,9
EMP0181,Data Scientist,IT,22,Remote,43,5
EMP0182,Marketing,Consulting,29,Remote,45,9
EMP0183,Designer,Healthcare,21,Onsite,56,14
EMP0184,Data Scientist,IT,22,Onsite,46,14
EMP0185,HR,Manufacturing,13,Hybrid,60,0
EMP0186,Designer,Consulting,12,Remote,32,9
EMP0187,HR,Manufacturing,11,Hybrid,59,13
EMP0188,Software Engineer,Consulting,17,Onsite,60,13
EMP0189,Data Scientist,IT,35,Hybrid,43,4
EMP0190,Data Scientist,Education,15,Remote,33,8
EMP0191,Data Scientist,Finance,11,Hybrid,20,14
EMP0192,Software Engineer,Retail,16,Hybrid,27,2
EMP0193,Software Engineer,Healthcare,4,Onsite,43,1
EMP0194,Sales,IT,29,Onsite,23,12
EMP0195,Data Scientist,Education,22,Onsite,29,0
EMP0196,Sales,Education,7,Remote,47,0
EMP0197,Designer,Healthcare,28,Onsite,46,12
EMP0198,Marketing,Manufacturing,13,Hybrid,40,2
EMP0199,Project Manager,Retail,7,Remote,47,0
EMP0200,Data Scientist,Finance,3,Remote,53,7
EMP0201,Sales,Education,3,Hybrid,55,14
EMP0202,Sales,Retail,2,Remote,40,1
EMP0203,Project Manager,IT,32,Hybrid,28,8
EMP0204,Sales,Consulting,18,Hybrid,39,14
EMP0205,Software Engineer,IT,14,Onsite,41,5
EMP0206,Data Scientist,Finance,5,Onsite,21,3
EMP0207,Project Manager,IT,12,Onsite,34,11
EMP0208,Designer,Retail,2,Remote,36,14
EMP0209,Marketing,Manufacturing,19,Remote,32,2
EMP0210,Sales,Consulting,7,Hybrid,21,8
EMP0211,Project Manager,Manufacturing,31,Onsite,56,3
EMP0212,Marketing,Manufacturing,33,Onsite,58,8
EMP0213,Software Engineer,Manufacturing,11,Onsite,35,8
EMP0214,Project Manager,Healthcare,22,Hybrid,52,3
EMP0215,Marketing,Consulting,30,Remote,33,8
EMP0216,Software Engineer,Manufacturing,22,Remote,47,9
EMP0217,HR,Education,11,Onsite,56,13
EMP0218,Data Scientist,Education,35,Onsite,33,4
EMP0219,HR,Education,5,Remote,60,9
EMP0220,Sales,Manufacturing,23,Hybrid,32,5
EMP0221,Project Manager,Retail,18,Hybrid,48,9
EMP0222,HR,IT,20,Hybrid,39,6
EMP0223,Software Engineer,Consulting,6,Onsite,23,6
EMP0224,Marketing,Retail,29,Hybrid,38,3
EMP0225,Designer,Manufacturing,1,Remote,30,5
EMP0226,Software Engineer,Retail,4,Onsite,35,3
EMP0227,Data Scientist,Healthcare,6,Remote,22,0
EMP0228,Project Manager,IT,8,Onsite,28,15
EMP0229,Marketing,Consulting,32,Onsite,57,4
EMP0230,HR,Manufacturing,10,Hybrid,48,14
EMP0231,Marketing,Retail,7,Onsite,45,14
EMP0232,Marketing,Healthcare,29,Onsite,34,3
EMP0233,Marketing,Manufacturing,19,Hybrid,59,9
EMP0234,Software Engineer,Consulting,18,Remote,31,6
EMP0235,Marketing,Retail,9,Onsite,55,12
EMP0236,Data Scientist,Finance,18,Remote,23,11
EMP0237,HR,Healthcare,33,Hybrid,51,7
EMP0238,Software Engineer,Manufacturing,13,Remote,32,11
EMP0239,Marketing,IT,4,Remote,41,14
EMP0240,Software Engineer,Manufacturing,24,Hybrid,46,10
EMP0241,HR,Education,6,Onsite,58,15
EMP0242,Sales,Manufacturing,2,Onsite,59,13
EMP0243,Project Manager,Education,10,Remote,40,1
EMP0244,Sales,Retail,32,Remote,56,3
EMP0245,Software Engineer,Finance,17,Onsite,47,11
EMP0246,Project Manager,IT,25,Hybrid,38,2
EMP0247,Data Scientist,Healthcare,25,Remote,59,12
EMP0248,Project Manager,Manufacturing,17,Onsite,47,4
EMP0249,HR,Manufacturing,17,Remote,49,6
EMP0250,Project Manager,Manufacturing,18,Hybrid,20,6
EMP0251,Project Manager,Manufacturing,26,Hybrid,50,9
EMP0252,Project Manager,Education,21,Hybrid,32,0
EMP0253,Sales,IT,21,Hybrid,23,8
EMP0254,HR,IT,25,Remote,22,13
EMP0255,Data Scientist,Education,4,Hybrid,33,11
EMP0256,Project Manager,Education,25,Hybrid,32,13
EMP0257,Marketing,Retail,10,Onsite,51,0
EMP0258,Designer,Healthcare,34,Hybrid,49,11
EMP0259,Data Scientist,Education,9,Remote,30,9
EMP0260,Software Engineer,Education,11,Remote,25,9
EMP0261,Software Engineer,Manufacturing,3,Onsite,40,12
EMP0262,Project Manager,Finance,20,Onsite,32,13
EMP0263,Sales,Education,18,Onsite,20,15
EMP0264,Project Manager,Retail,8,Hybrid,35,5
EMP0265,Sales,Manufacturing,32,Remote,49,2
EMP0266,Sales,Retail,21,Onsite,34,5
EMP0267,Project Manager,Manufacturing,33,Hybrid,58,13
EMP0268,HR,Consulting,15,Onsite,26,4
EMP0269,Marketing,Retail,12,Onsite,36,7
EMP0270,Designer,Education,32,Hybrid,48,3
EMP0271,HR,Finance,3,Onsite,57,5
EMP0272,HR,Finance,28,Hybrid,32,8
EMP0273,Marketing,Healthcare,17,Remote,55,7
EMP0274,Designer,Finance,35,Hybrid,28,3
EMP0275,Sales,Consulting,7,Onsite,53,10
EMP0276,Designer,Finance,34,Onsite,36,10
EMP0277,Sales,Manufacturing,18,Remote,54,7
EMP0278,Marketing,Healthcare,8,Remote,33,8
EMP0279,Designer,Finance,19,Onsite,39,1
EMP0280,Software Engineer,Healthcare,25,Hybrid,33,11
EMP0281,Software Engineer,Education,2,Hybrid,48,4
EMP0282,Designer,Education,10,Remote,60,7
EMP0283,Data Scientist,IT,35,Remote,24,1
EMP0284,Data Scientist,Healthcare,18,Remote,28,7
EMP0285,Project Manager,Manufacturing,12,Hybrid,20,14
EMP0286,Project Manager,Finance,35,Onsite,28,14
EMP0287,HR,Consulting,23,Remote,48,12
EMP0288,Sales,Healthcare,10,Hybrid,51,5
EMP0289,Designer,IT,22,Hybrid,39,5
EMP0290,Marketing,Retail,14,Remote,25,2
EMP0291,Sales,IT,32,Hybrid,53,12
EMP0292,HR,IT,10,Hybrid,44,13
EMP0293,Sales,Education,22,Hybrid,31,3
EMP0294,Designer,Healthcare,3,Onsite,58,2
EMP0295,Marketing,Healthcare,33,Hybrid,26,5
EMP0296,Data Scientist,Consulting,33,Hybrid,20,4
EMP0297,Marketing,IT,11,Hybrid,28,14
EMP0298,Sales,Healthcare,7,Remote,35,14
EMP0299,Marketing,Finance,9,Remote,30,14
EMP0300,Data Scientist,Finance,6,Hybrid,28,0
EMP0301,Designer,Retail,16,Remote,21,4
EMP0302,HR,IT,2,Remote,56,13
EMP0303,Software Engineer,Retail,13,Hybrid,25,10
EMP0304,Software Engineer,Education,20,Remote,21,0
EMP0305,Project Manager,Retail,17,Remote,50,2
EMP0306,Data Scientist,Finance,16,Onsite,50,3
EMP0307,Marketing,Manufacturing,14,Hybrid,27,10
EMP0308,Software Engineer,Consulting,3,Onsite,31,14
EMP0309,Designer,Finance,27,Hybrid,45,11
EMP0310,Sales,Education,25,Remote,23,8
EMP0311,Designer,IT,32,Onsite,42,14
EMP0312,Data Scientist,Finance,16,Onsite,37,8
EMP0313,Sales,IT,15,Onsite,40,7
EMP0314,HR,Retail,26,Onsite,23,1
EMP0315,Marketing,Education,22,Remote,20,3
EMP0316,Designer,Manufacturing,16,Remote,51,8
EMP0317,Marketing,IT,2,Onsite,46,1
EMP0318,HR,Education,6,Remote,37,7
EMP0319,Project Manager,Education,6,Onsite,42,4
EMP0320,HR,Retail,4,Hybrid,53,15
EMP0321,Marketing,Consulting,25,Hybrid,26,0
EMP0322,Marketing,Education,31,Onsite,48,9
EMP0323,Marketing,Education,1,Onsite,58,0
EMP0324,HR,Consulting,29,Hybrid,52,7
EMP0325,Marketing,Finance,4,Hybrid,52,13
EMP0326,Designer,Manufacturing,2,Onsite,49,7
EMP0327,Marketing,Consulting,19,Hybrid,55,4
EMP0328,Designer,Healthcare,13,Remote,33,0
EMP0329,HR,Healthcare,2,Onsite,24,12
EMP0330,Sales,Consulting,31,Onsite,21,15
EMP0331,Software Engineer,Education,28,Remote,55,12
EMP0332,Sales,Education,25,Remote,44,10
EMP0333,Software Engineer,Manufacturing,21,Onsite,24,7
EMP0334,Marketing,IT,11,Onsite,25,6
EMP0335,Designer,Education,16,Hybrid,40,0
EMP0336,Sales,IT,32,Hybrid,59,3
EMP0337,Software Engineer,IT,31,Onsite,22,9
EMP0338,Designer,Consulting,4,Hybrid,47,15
EMP0339,Sales,Finance,32,Hybrid,31,15
EMP0340,Designer,IT,2,Onsite,41,5
EMP0341,Data Scientist,Manufacturing,18,Remote,52,0
EMP0342,HR,Finance,6,Hybrid,48,0
EMP0343,Project Manager,Finance,20,Onsite,41,14
EMP0344,Data Scientist,Finance,15,Remote,21,7
EMP0345,Software Engineer,Healthcare,3,Hybrid,49,15
EMP0346,Software Engineer,Education,29,Remote,32,7
EMP0347,Marketing,Education,12,Remote,40,12
EMP0348,Sales,Finance,23,Onsite,22,10
EMP0349,Project Manager,Consulting,34,Hybrid,44,9
EMP0350,HR,Manufacturing,16,Onsite,41,15
EMP0351,Designer,Manufacturing,6,Remote,37,11
EMP0352,HR,Healthcare,18,Onsite,54,12
EMP0353,Software Engineer,Retail,3,Onsite,31,3
EMP0354,Data Scientist,Consulting,14,Hybrid,53,13
EMP0355,Project Manager,Education,20,Remote,23,13
EMP0356,Sales,Healthcare,2,Remote,58,3
EMP0357,HR,Finance,9,Remote,26,7
EMP0358,Designer,Manufacturing,23,Remote,46,7
EMP0359,Sales,Manufacturing,6,Remote,20,7
EMP0360,HR,Finance,13,Hybrid,56,0
EMP0361,Sales,Retail,30,Onsite,28,15
EMP0362,Sales,Consulting,10,Hybrid,39,2
EMP0363,Designer,Manufacturing,11,Onsite,22,10
EMP0364,Project Manager,IT,9,Onsite,32,4
EMP0365,Project Manager,Consulting,23,Hybrid,28,9
EMP0366,Sales,IT,12,Hybrid,22,6
EMP0367,Marketing,Manufacturing,28,Onsite,53,2
EMP0368,Sales,IT,32,Hybrid,33,11
EMP0369,Data Scientist,Manufacturing,33,Remote,34,5
EMP0370,Software Engineer,Education,2,Remote,50,0
EMP0371,Data Scientist,Healthcare,33,Onsite,28,1
EMP0372,Marketing,Healthcare,16,Onsite,51,7
EMP0373,Software Engineer,Education,12,Remote,35,0
EMP0374,Sales,Healthcare,25,Remote,39,8
EMP0375,Software Engineer,Healthcare,8,Hybrid,58,14
EMP0376,Designer,IT,26,Hybrid,34,3
EMP0377,Designer,IT,7,Hybrid,48,4
EMP0378,Designer,Healthcare,2,Remote,52,0
EMP0379,Designer,Healthcare,35,Remote,59,8
EMP0380,Marketing,Consulting,15,Remote,32,14
EMP0381,Designer,Education,28,Remote,41,4
EMP0382,Project Manager,Education,18,Remote,34,14
EMP0383,HR,Consulting,10,Hybrid,41,8
EMP0384,Sales,Education,5,Remote,55,9
EMP0385,Designer,IT,27,Remote,50,8
EMP0386,Project Manager,Healthcare,4,Remote,25,9
EMP0387,Sales,Consulting,32,Onsite,21,12
EMP0388,Sales,Finance,20,Hybrid,44,11
EMP0389,Sales,Consulting,18,Remote,28,0
EMP0390,Software Engineer,Retail,31,Onsite,54,8
EMP0391,Project Manager,Consulting,9,Hybrid,55,12
EMP0392,Marketing,Retail,29,Remote,26,10
EMP0393,HR,Retail,17,Onsite,41,7
EMP0394,Sales,Healthcare,31,Onsite,50,4
EMP0395,Project Manager,Finance,3,Hybrid,55,12
EMP0396,Marketing,Healthcare,20,Hybrid,22,2
EMP0397,Data Scientist,Consulting,9,Hybrid,33,11
EMP0398,Project Manager,Retail,4,Hybrid,21,4
EMP0399,Designer,Manufacturing,17,Hybrid,28,13
EMP0400,Data Scientist,Healthcare,34,Remote,22,6
EMP0401,HR,IT,13,Remote,58,14
EMP0402,Project Manager,Consulting,19,Remote,39,0
EMP0403,Data Scientist,Finance,8,Onsite,35,15
EMP0404,Designer,Healthcare,22,Hybrid,56,3
EMP0405,Data Scientist,Consulting,14,Remote,29,13
EMP0406,HR,Manufacturing,33,Hybrid,24,0
EMP0407,Project Manager,Healthcare,30,Onsite,60,4
EMP0408,HR,Retail,10,Remote,31,9
EMP0409,Data Scientist,Finance,35,Remote,50,10
EMP0410,Project Manager,Consulting,20,Remote,27,14
EMP0411,Software Engineer,Healthcare,6,Remote,43,3
EMP0412,Designer,Retail,22,Hybrid,30,3
EMP0413,Sales,Education,25,Onsite,26,15
EMP0414,Project Manager,Manufacturing,21,Onsite,47,7
EMP0415,Data Scientist,Manufacturing,14,Onsite,56,14
EMP0416,Sales,Healthcare,26,Hybrid,30,15
EMP0417,Sales,Healthcare,9,Hybrid,26,12
EMP0418,HR,Consulting,22,Onsite,47,10
EMP0419,HR,Education,34,Remote,38,7
EMP0420,Marketing,IT,30,Hybrid,49,0
EMP0421,HR,IT,32,Remote,49,0
EMP0422,Marketing,Finance,5,Remote,37,11
EMP0423,Project Manager,Education,21,Hybrid,24,13
EMP0424,Marketing,Consulting,32,Hybrid,53,0
EMP0425,Sales,Finance,30,Remote,33,14
EMP0426,Software Engineer,Consulting,28,Onsite,41,13
EMP0427,Sales,Finance,4,Remote,31,15
EMP0428,Sales,IT,19,Onsite,29,4
EMP0429,Project Manager,IT,25,Hybrid,33,7
EMP0430,Sales,Consulting,9,Remote,58,8
EMP0431,Project Manager,Consulting,10,Hybrid,42,12
EMP0432,Marketing,Finance,26,Hybrid,23,15
EMP0433,Project Manager,Consulting,26,Hybrid,28,4
EMP0434,Designer,Finance,11,Hybrid,41,10
EMP0435,Data Scientist,Consulting,25,Onsite,33,9
EMP0436,Marketing,Healthcare,3,Hybrid,46,13
EMP0437,HR,Healthcare,29,Remote,25,9
EMP0438,Project Manager,Education,7,Onsite,55,1
EMP0439,Sales,Manufacturing,28,Onsite,53,4
EMP0440,Software Engineer,Retail,7,Onsite,47,10
EMP0441,Data Scientist,Retail,34,Hybrid,35,14
EMP0442,HR,Finance,3,Hybrid,39,8
EMP0443,Designer,Consulting,24,Hybrid,34,12
EMP0444,HR,Retail,7,Hybrid,27,9
EMP0445,Software Engineer,Retail,18,Remote,22,4
EMP0446,Designer,Healthcare,33,Onsite,48,1
EMP0447,Sales,Healthcare,28,Remote,52,3
EMP0448,Project Manager,Retail,2,Onsite,40,5
EMP0449,HR,Finance,22,Hybrid,41,7
EMP0450,Project Manager,IT,8,Hybrid,56,15
EMP0451,Data Scientist,Manufacturing,32,Onsite,57,9
EMP0452,Data Scientist,Finance,21,Remote,36,5
EMP0453,Data Scientist,Finance,15,Hybrid,32,5
EMP0454,Marketing,Education,10,Remote,32,7
EMP0455,Data Scientist,Manufacturing,2,Remote,58,14
EMP0456,Sales,Retail,10,Remote,59,15
EMP0457,HR,Healthcare,28,Onsite,22,3
EMP0458,Sales,Manufacturing,27,Remote,49,10
EMP0459,Marketing,Consulting,1,Onsite,42,14
EMP0460,Sales,Retail,7,Onsite,20,5
EMP0461,Project Manager,IT,12,Remote,22,5
EMP0462,Designer,Manufacturing,28,Hybrid,48,1
EMP0463,Designer,Healthcare,27,Remote,20,1
EMP0464,HR,IT,19,Hybrid,24,8
EMP0465,Sales,Consulting,15,Hybrid,22,9
EMP0466,Marketing,Finance,19,Onsite,58,4
EMP0467,Project Manager,IT,17,Hybrid,58,2
EMP0468,Project Manager,IT,26,Hybrid,27,9
EMP0469,HR,Education,14,Hybrid,40,13
EMP0470,Sales,Finance,1,Hybrid,24,14
EMP0471,Sales,IT,26,Onsite,43,7
EMP0472,HR,Manufacturing,14,Remote,50,9
EMP0473,Designer,Manufacturing,17,Remote,30,14
EMP0474,Sales,Consulting,26,Hybrid,35,15
EMP0475,Marketing,Education,33,Remote,37,13
EMP0476,Project Manager,Retail,7,Onsite,51,9
EMP0477,Marketing,Manufacturing,5,Onsite,54,11
EMP0478,Designer,Retail,25,Remote,58,15
EMP0479,Sales,Finance,3,Onsite,36,1
EMP0480,Project Manager,Retail,2,Onsite,53,10
EMP0481,Software Engineer,Retail,13,Hybrid,56,12
EMP0482,Sales,Retail,8,Hybrid,27,4
EMP0483,Marketing,Education,16,Remote,20,11
EMP0484,Project Manager,Education,21,Remote,25,14
EMP0485,Data Scientist,Consulting,20,Remote,33,14
EMP0486,Software Engineer,Finance,12,Onsite,35,5
EMP0487,Project Manager,Manufacturing,1,Hybrid,34,4
EMP0488,Designer,Healthcare,32,Onsite,21,5
EMP0489,Sales,Healthcare,22,Remote,21,2
EMP0490,Designer,Healthcare,23,Onsite,29,8
EMP0491,Project Manager,IT,27,Onsite,33,5
EMP0492,Sales,Finance,10,Hybrid,42,11
EMP0493,Designer,Education,23,Onsite,38,7
EMP0494,Marketing,Finance,24,Remote,40,4
EMP0495,Software Engineer,Education,16,Remote,24,4
EMP0496,HR,Retail,19,Hybrid,28,4
EMP0497,Designer,Education,14,Hybrid,57,7
EMP0498,Data Scientist,Finance,23,Remote,41,13
EMP0499,Software Engineer,Retail,14,Onsite,40,13
EMP0500,Project Manager,Retail,10,Onsite,47,3
EMP0501,Data Scientist,Consulting,7,Onsite,53,2
EMP0502,Data Scientist,Retail,25,Hybrid,27,13
EMP0503,Software Engineer,Consulting,21,Hybrid,33,13
EMP0504,Sales,Healthcare,22,Hybrid,50,3
EMP0505,Software Engineer,Retail,29,Remote,40,5
EMP0506,Software Engineer,Education,14,Remote,56,8
EMP0507,Sales,Healthcare,17,Remote,29,15
EMP0508,Designer,Consulting,18,Remote,27,1
EMP0509,HR,Education,27,Onsite,55,11
EMP0510,Sales,Finance,10,Remote,28,14
EMP0511,HR,Manufacturing,5,Remote,59,12
EMP0512,Designer,Education,23,Hybrid,40,1
EMP0513,Marketing,IT,27,Onsite,38,13
EMP0514,Data Scientist,Education,6,Remote,37,13
EMP0515,Project Manager,IT,32,Remote,36,0
EMP0516,Designer,Finance,20,Remote,55,11
EMP0517,HR,IT,32,Remote,47,10
EMP0518,Data Scientist,Healthcare,8,Onsite,51,14
